"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"trend",0.00562640212720703,0.0559089899622911,-0.100090658627742,-0.0299340841798632,0.00514305180223507,0.0387793082500192,0.121336874981333,1.04603314259995,69,1,0.539833333333333
"totalN[1]",564.575633333333,379.721310290475,163,311,454,681,1685,1.27477265317175,19,0,1
"totalN[2]",481.962566666667,211.52554786753,237,335,425,562,1086,1.25353374998532,18,0,1
"totalN[3]",523.745033333333,246.991988385743,246,361,465,615,1206,1.10693229563784,39,0,1
"totalN[4]",425.195466666667,222.584864250714,143,264,374,531,990,1.24076861715771,16,0,1
"totalN[5]",781.333733333333,255.817618061226,425,582,731,941,1365.025,1.0881242620995,35,0,1
"totalN[6]",501.1615,162.281386053234,310,398,472,567.25,860,1.13778419913775,37,0,1
"totalN[7]",466.071233333333,165.418502799761,236,345,433,552,881,1.10603278592888,35,0,1
"totalN[8]",300.833933333333,135.15010472393,153,211,263,350,658.024999999998,1.23165979053854,19,0,1
"totalN[9]",319.3917,188.109327542293,89,177,271,425,766,1.18561526506144,20,0,1
"totalN[10]",584.826533333333,1551.56302015188,119.975,318,462,662,1701.025,1.21491071123656,2133,0,1
"totalN[11]",646.6812,428.56986319325,328,447,543,690,1831.12499999999,1.37892762673868,20,0,1
"totalN[12]",439.162833333333,267.098471052182,175,271,377,526,1095.025,1.18934356155901,26,0,1
"totalN[13]",804.818266666667,388.985725748589,394,567,714,909,1881,1.11455862287307,48,0,1
"totalN[14]",526.807233333333,369.342192367522,195,342,460,621.25,1130,1.17469224551285,389,0,1
"fit",1181.17061085357,54.9372447796935,1072.37549224646,1143.62106082432,1182.23306258603,1219.79640443269,1283.6684872941,1.08700885731227,34,0,1
"fit.new",1153.57125074277,57.1247599249742,1042.96776549605,1114.77172348354,1153.66236460142,1192.50582741972,1265.7152974577,1.08047911714163,36,0,1
"anndet[1]",0.0399607913672596,0.0238534218380042,0.00896974443976283,0.0229778104144184,0.0348165414318725,0.0517567089641731,0.103236033618652,1.06458645588565,45,0,1
"anndet[2]",0.143115855691083,0.052386112330322,0.0537932266423802,0.105000446767347,0.139221850271803,0.177043540934145,0.252822276598787,1.13032528046117,24,0,1
"anndet[3]",0.112949366626042,0.0429935396358342,0.0411434709945173,0.0814408583484516,0.107890625098684,0.140304489724633,0.208158542746855,1.07511486706234,38,0,1
"anndet[4]",0.0613167354631422,0.0326659247684857,0.0197323201992699,0.0372725756893254,0.0544388922639729,0.0769894057234459,0.143885223860293,1.19163464511536,19,0,1
"anndet[5]",0.16757071967073,0.0530114016992142,0.0860440021707621,0.125465283367994,0.161836430250674,0.203672557194283,0.281514671981426,1.08489301596284,35,0,1
"anndet[6]",0.243948235435212,0.062009404726155,0.131146335630281,0.199458712380384,0.240395945655289,0.286002997106118,0.370764909820501,1.09006668371152,33,0,1
"anndet[7]",0.136458030483785,0.0468050544050901,0.0643899578168866,0.101837020727361,0.130446705513976,0.164573819901238,0.244183681643644,1.0523462885644,54,0,1
"anndet[8]",0.156832332171666,0.054639472656169,0.0608298582373558,0.11648569989905,0.154461368957761,0.194173162515339,0.271980814712011,1.17946405674019,19,0,1
"anndet[9]",0.0782287727371955,0.048802254657563,0.0224707058637586,0.0415006786093548,0.0660908547492669,0.10132936914089,0.209631684920299,1.15090922296746,24,0,1
"anndet[10]",0.459903340718521,0.28589145375316,0.0196506888411833,0.21000984731909,0.441648079136778,0.699463854235862,0.965665927183197,1.0000130179242,30000,0,1
"anndet[11]",0.149658405120764,0.0499053436200209,0.0444216917311121,0.116925906189445,0.148984308144545,0.181664379217009,0.250928642317306,1.14878882825075,25,0,1
"anndet[12]",0.137576147625621,0.0626107118872127,0.0417003645958364,0.089313882384593,0.126591222989324,0.176752177114015,0.279885805554537,1.11724925298723,27,0,1
"anndet[13]",0.133953602763207,0.0477435920379778,0.0485786573903778,0.101407690322343,0.12950325535344,0.163289546460005,0.237052679187262,1.05509441080817,57,0,1
"anndet[14]",0.103318639359323,0.049728509298938,0.036393730601799,0.0683902699821965,0.0934822159997566,0.126577735035161,0.229531676001355,1.05963639494565,73,0,1
"deviance",5659.44378027445,114.382218396728,5419.66236958007,5582.88644930668,5667.29265393589,5747.15628804149,5852.48892842151,1.20954010997594,17,0,1
