LocationID,MajorPoint,Point,FOREST,Route,Sequence,Eastings,Northings,Type,Habitat_Code,Altitude,Range,Locality,rainGauge,COMMENT
128,131,131,CH,3,5,379902,1851227,GPS2011,mesf,255,201-300,Killiecra,Ginger Ground,
129,132,132,CH,8,999,380249.09,1851138.86,GPS,dryf,237,201-300,Fairy Wal,Ginger Ground,POINT CEASED TO EXIST AFTER DOME COLLAPSE IN 2010
130,133,133,CH,8,999,380340.71,1851264.37,GPS,dryf,230,201-300,Fairy Wal,Ginger Ground,POINT CEASED TO EXIST AFTER DOME COLLAPSE IN 2010
131,134,134,CH,10,1,377482,1850568,GPS2011,mesf,166,301-400,Waterwork,Hope,
132,135,135,CH,,,378095.98,1850845.73,GPS,dryf,295,201-300,Waterwork,Hope,
133,136,136,CH,,,378470.18,1850697.88,GPS,dryf,270,201-300,Waterwork,Hope,
134,137,137,CH,3,2,378908,1851044,GPS2011,mesf,378,301-400,Killiecra,Hope,
135,138,138,CH,,,377495.62,1850552.8,GPS,mesf,210,201-300,Waterwork,Hope,
136,139,139,CH,,,378119.94,1850638.64,GPS,wetf,220,201-300,Waterwork,Hope,
137,140,140,CH,3,1,378543,1850595,GPS2011,mesf,332,201-300,Killiecra,Hope,
138,151,151,CH,1,1,377464,1853678,GPS2011,mesf,277,201-300,FOGARTHY,Mars Hill,
139,152,152,CH,1,2,377560,1853439,GPS2011,mesf,286,201-300,FOGARTHY,Mars Hill,
140,153,153,CH,1,3,377449,1853308,GPS2011,mesf,283,201-300,FOGARTHY,Mars Hill,
141,154,154,CH,1,4,377262,1853152,GPS2011,mesf,370,301-400,FOGARTHY,Mars Hill,
142,155,155,CH,1,5,377070,1853092,GPS2011,dryf,312,301-400,LAWYERS,St. Peters,
143,156,156,CH,1,6,377176,1852927,GPS2011,mesf,251,201-300,LAWYERS,Mars Hill,
144,157,157,CH,1,7,377026,1852745,GPS2011,dryf,201,<200,CASSAVA,Olveston,
145,158,158,CH,1,8,377081,1852643,GPS2011,mesf,261,201-300,CASSAVA,Olveston,
146,159,159,CH,1,9,376976,1852488,GPS2011,mesf,273,201-300,CASSAVA,Olveston,
147,160,160,CH,4,10,377298,1851793,GPS2012,mesf,328,201-300,HOPE,Olveston,moved in 2012 to opposite side of ghaut
148,161,161,CH,4,11,377168,1851618,GPS2011,mesf,271,201-300,HOPE,Hope,
301,170,170,CH,11,5,377888,1851994,GPS2011,wetf,650,,Hope summit,Olveston,
302,171,171,CH,11,6,377980,1852143,GPS2011,wetf,670,,Hope summit,Olveston,
303,172,172,CH,11,7,378231,1852242,GPS2011,wetf,613,,Hope summit,Olveston,
