mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.0679976311658852,0.0207717650936916,0.0264199936383031,0.0682603909608779,0.108248693736864,1.28,86,trend,6,0.378533333333333,0.987401159694308
263.395266666667,54.8778601644717,181,255,400,1.06,30,totalN[1],6,0.378533333333333,0.987401159694308
233.4688,38.5355614014662,165,230,314,2.03,74,totalN[2],6,0.378533333333333,0.987401159694308
305.568666666667,55.0977706975937,198,303,431.025,1.08,41,totalN[3],6,0.378533333333333,0.987401159694308
180.9986,51.9122784803088,122,164,306,3.48,14,totalN[4],6,0.378533333333333,0.987401159694308
379.433933333333,69.918069702762,279.975,370,558,1.71,18,totalN[5],6,0.378533333333333,0.987401159694308
340.132866666667,46.1058593145502,272,332,466,1.3,46,totalN[6],6,0.378533333333333,0.987401159694308
346.323066666667,50.5917054727327,268,341,457,1.13,17,totalN[7],6,0.378533333333333,0.987401159694308
493.7726,78.2689233190958,349,490,652,1.57,22,totalN[8],6,0.378533333333333,0.987401159694308
371.345066666667,67.9246316100979,263,364,517,1.07,30,totalN[9],6,0.378533333333333,0.987401159694308
444.584933333333,152.445395993384,215,424,808.025,1.06,4982,totalN[10],6,0.378533333333333,0.987401159694308
386.7526,69.7812880012759,264,378,532,1.96,23,totalN[11],6,0.378533333333333,0.987401159694308
507.435066666667,76.0621685239182,372,504,669.025,1.28,39,totalN[12],6,0.378533333333333,0.987401159694308
544.1444,89.3583363549539,407,532,752,1.84,40,totalN[13],6,0.378533333333333,0.987401159694308
560.3972,135.146773085826,354,541,878.025,1.33,27,totalN[14],6,0.378533333333333,0.987401159694308
0.285533086410934,0.0333866148739323,0.220891487089679,0.285611608204806,0.358777725045429,1.06,15,anndet[1],6,0.378533333333333,0.987401159694308
0.194431953288008,0.0274730694491647,0.150512881330614,0.193042854968091,0.257562795691627,2.36,30,anndet[2],6,0.378533333333333,0.987401159694308
0.151193559390358,0.0301770992082658,0.106756600969446,0.146600260253668,0.233634032295136,1.1,20,anndet[3],6,0.378533333333333,0.987401159694308
0.324321854777124,0.0774968845686734,0.18003325502662,0.333858494640922,0.449277292778125,3.1,13,anndet[4],6,0.378533333333333,0.987401159694308
0.254897570330834,0.0393648001557259,0.173346844155755,0.250924668124997,0.326374582506021,1.73,13,anndet[5],6,0.378533333333333,0.987401159694308
0.280266192456794,0.0308047054987413,0.199547212911958,0.284804092096786,0.329695575436552,1.47,28,anndet[6],6,0.378533333333333,0.987401159694308
0.326512835922133,0.0408832399089014,0.252421829483393,0.325430883837193,0.40137853208017,1.22,14,anndet[7],6,0.378533333333333,0.987401159694308
0.247475397845797,0.0363792657672296,0.193003363916512,0.242819331658842,0.338895782575388,1.59,16,anndet[8],6,0.378533333333333,0.987401159694308
0.17718288702821,0.0293703769797175,0.127885541610501,0.175902948348154,0.232048951629632,1.11,18,anndet[9],6,0.378533333333333,0.987401159694308
0.946851701293327,0.0921052387423744,0.648416318080666,0.981218368078479,0.999350143407089,1.03,12357,anndet[10],6,0.378533333333333,0.987401159694308
0.235151006997215,0.0410804420897164,0.170180180557292,0.233383527565482,0.330226125123956,2.38,20,anndet[11],6,0.378533333333333,0.987401159694308
0.199019101283409,0.0227596552151502,0.159437891340036,0.196463814688309,0.253157294331031,1.38,24,anndet[12],6,0.378533333333333,0.987401159694308
0.194027984164544,0.0263901041161172,0.144266524886578,0.193569707926964,0.246155465013043,1.85,25,anndet[13],6,0.378533333333333,0.987401159694308
0.11187065465437,0.0227402472147385,0.0725322141860262,0.109732858853743,0.162273273452117,1.34,15,anndet[14],6,0.378533333333333,0.987401159694308
