mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
-0.143006059515017,0.077347423884047,-0.323943572893347,-0.138563527903076,-0.00450519358809583,1.07,82,trend,ACHU,0.000266666666666667,0.871519360345714
0.12901046961987,0.119624370962597,-0.0624332287095083,0.109763243283491,0.421355238714454,2.16,28,trend2,ACHU,0.000266666666666667,0.871519360345714
502.523733333333,114.95124900279,345,478,800.275,1.59,86,totalN[1],ACHU,0.000266666666666667,0.871519360345714
397.3688,82.2644457646793,272,385,610,1.33,141,totalN[2],ACHU,0.000266666666666667,0.871519360345714
375.6504,66.9612315317418,265.725,368,536,1.25,141,totalN[3],ACHU,0.000266666666666667,0.871519360345714
396.194133333333,70.6788420385152,288.725,385,564,1.06,121,totalN[4],ACHU,0.000266666666666667,0.871519360345714
373.386933333333,48.8078347931167,299,367,494.275,1.04,152,totalN[5],ACHU,0.000266666666666667,0.871519360345714
324.4624,37.286224304866,261.725,321,405,1.07,263,totalN[6],ACHU,0.000266666666666667,0.871519360345714
275.474666666667,41.046204483032,206,271,372.55,1.55,118,totalN[7],ACHU,0.000266666666666667,0.871519360345714
292.9008,39.5317521562217,223,289,382,1.14,208,totalN[8],ACHU,0.000266666666666667,0.871519360345714
277.566933333334,42.0283240359153,200,277,365,1.21,191,totalN[9],ACHU,0.000266666666666667,0.871519360345714
280.239466666667,58.9265289316455,173.725,278,406,1.16,285,totalN[10],ACHU,0.000266666666666667,0.871519360345714
281.204,32.5887791262573,226,278,354.275,1.09,312,totalN[11],ACHU,0.000266666666666667,0.871519360345714
294.877333333333,36.9167583278154,233,291,382,1.02,237,totalN[12],ACHU,0.000266666666666667,0.871519360345714
324.902666666667,42.0893683749663,260,319,426,1.06,186,totalN[13],ACHU,0.000266666666666667,0.871519360345714
264.721066666667,50.455900305406,179,260,376,1.02,112,totalN[14],ACHU,0.000266666666666667,0.871519360345714
321.254666666666,86.1224753849227,209,301,548.275,1.35,95,totalN[15],ACHU,0.000266666666666667,0.871519360345714
0.164998414756209,0.0322242584681115,0.0997563552524041,0.165937409208513,0.226088684144054,1.5,123,anndet[1],ACHU,0.000266666666666667,0.871519360345714
0.154907474907595,0.0293976867914237,0.0976041599238558,0.154275895418394,0.216254382732597,1.26,137,anndet[2],ACHU,0.000266666666666667,0.871519360345714
0.135459849539541,0.0242268033674851,0.0902468801959231,0.134435568443395,0.185554378987973,1.21,156,anndet[3],ACHU,0.000266666666666667,0.871519360345714
0.201191980236894,0.0334592839711809,0.13947526533838,0.200746877300344,0.270639959346629,1.1,139,anndet[4],ACHU,0.000266666666666667,0.871519360345714
0.219632534778236,0.027117873146591,0.162874220724752,0.219722824457496,0.273782108960107,1.02,229,anndet[5],ACHU,0.000266666666666667,0.871519360345714
0.293112197301457,0.0323571110657249,0.23298072230482,0.291976391870901,0.356378652735334,1.08,245,anndet[6],ACHU,0.000266666666666667,0.871519360345714
0.364075739177181,0.0516238088251448,0.263577858090905,0.361983935888818,0.470824750624789,1.47,172,anndet[7],ACHU,0.000266666666666667,0.871519360345714
0.256818181725672,0.0331417852942551,0.195157723898673,0.255093162352986,0.326929279989088,1.14,236,anndet[8],ACHU,0.000266666666666667,0.871519360345714
0.152008576022806,0.0240350518591476,0.109908200424315,0.149556372777408,0.204724207737013,1.22,222,anndet[9],ACHU,0.000266666666666667,0.871519360345714
0.18929731242324,0.0546792622251982,0.0992129918515877,0.182099033657949,0.320543730576144,1.04,458,anndet[10],ACHU,0.000266666666666667,0.871519360345714
0.264099174724453,0.0298273456483557,0.205315717373688,0.263813604380548,0.323588256057814,1.07,344,anndet[11],ACHU,0.000266666666666667,0.871519360345714
0.235109183234,0.0283016300691992,0.179932793932422,0.234810284933831,0.291780667493064,1.03,269,anndet[12],ACHU,0.000266666666666667,0.871519360345714
0.292557968744243,0.0355507497588265,0.218852132412429,0.292324019259656,0.361780367052015,1.04,241,anndet[13],ACHU,0.000266666666666667,0.871519360345714
0.151585463239562,0.0281312425653878,0.100359608189283,0.150031470159582,0.208905633921414,1.02,161,anndet[14],ACHU,0.000266666666666667,0.871519360345714
0.19652891455635,0.044189592863458,0.110011970018764,0.198064447062879,0.284547401566147,1.22,124,anndet[15],ACHU,0.000266666666666667,0.871519360345714
3.62373333333333,1.76387444650664,1,3,8,1.17,692,"N[1, 1]",ACHU,0.000266666666666667,0.871519360345714
3.87893333333334,2.00978107950892,1,4,9,1.15,571,"N[2, 1]",ACHU,0.000266666666666667,0.871519360345714
6.98480000000001,2.37193365108135,3,7,13,1.21,700,"N[3, 1]",ACHU,0.000266666666666667,0.871519360345714
6.16879999999999,2.11007753583969,3,6,11,1.2,473,"N[4, 1]",ACHU,0.000266666666666667,0.871519360345714
5.02506666666666,2.07087306860977,2,5,10,1.16,613,"N[5, 1]",ACHU,0.000266666666666667,0.871519360345714
4.86053333333333,2.19556397823828,2,5,10,1.17,538,"N[6, 1]",ACHU,0.000266666666666667,0.871519360345714
