mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
-0.128062577816619,0.0729128673942902,-0.274782338514846,-0.127319069929416,0.0128310744790842,1.01,895,trend,ACHU,2.66666666666667e-05,0.872295683751045
0.0645327132651554,0.0895874471682844,-0.103069727776117,0.059746494930883,0.261656592863565,1.02,387,trend2,ACHU,2.66666666666667e-05,0.872295683751045
469.90128,103.218710531346,322,453,715.525000000002,1,762,totalN[1],ACHU,2.66666666666667e-05,0.872295683751045
386.01504,75.3982168504524,260,378,557,1.01,965,totalN[2],ACHU,2.66666666666667e-05,0.872295683751045
362.067733333333,63.8338933427006,254,357,501,1,1012,totalN[3],ACHU,2.66666666666667e-05,0.872295683751045
389.62048,67.1519165378035,285,381,547,1,953,totalN[4],ACHU,2.66666666666667e-05,0.872295683751045
372.333653333333,51.7613839511946,294,365,499,1,1184,totalN[5],ACHU,2.66666666666667e-05,0.872295683751045
330.924746666667,41.4987472200031,262,327,425,1,1365,totalN[6],ACHU,2.66666666666667e-05,0.872295683751045
284.08552,43.660853864767,212,280,380,1,780,totalN[7],ACHU,2.66666666666667e-05,0.872295683751045
303.625173333333,41.2889571077957,233,300,394,1,1377,totalN[8],ACHU,2.66666666666667e-05,0.872295683751045
289.935653333333,45.6133373208714,210,287,387,1,1435,totalN[9],ACHU,2.66666666666667e-05,0.872295683751045
295.769066666667,63.1299484149365,190,290,438,1,1774,totalN[10],ACHU,2.66666666666667e-05,0.872295683751045
286.754266666667,34.3090851643927,229,284,363.525000000001,1.01,1912,totalN[11],ACHU,2.66666666666667e-05,0.872295683751045
302.292266666667,39.387555441402,237,298,391,1,1795,totalN[12],ACHU,2.66666666666667e-05,0.872295683751045
331.72856,44.779309269283,263,326,438,1,1502,totalN[13],ACHU,2.66666666666667e-05,0.872295683751045
264.44368,51.7454733984664,182,259,383,1,1126,totalN[14],ACHU,2.66666666666667e-05,0.872295683751045
0.173550459841857,0.0335453767115141,0.109686575351562,0.172722308904396,0.243168063129464,1,905,anndet[1],ACHU,2.66666666666667e-05,0.872295683751045
0.158393083814809,0.030119677077527,0.105082734810591,0.156340083313551,0.224991492420483,1.01,1142,anndet[2],ACHU,2.66666666666667e-05,0.872295683751045
0.140640651903607,0.0248966604766183,0.0961082427311368,0.139068356595519,0.194538951975474,1,1138,anndet[3],ACHU,2.66666666666667e-05,0.872295683751045
0.203584179953977,0.0332487089467723,0.141661066034568,0.202367548304664,0.273197854754901,1,1062,anndet[4],ACHU,2.66666666666667e-05,0.872295683751045
0.219632229594228,0.0284886993565862,0.161550436973821,0.220289328304186,0.274585269617091,1,1302,anndet[5],ACHU,2.66666666666667e-05,0.872295683751045
0.287581807759775,0.034367735990149,0.222039890061516,0.286709641657253,0.357629071079889,1,1414,anndet[6],ACHU,2.66666666666667e-05,0.872295683751045
0.352656223336118,0.0523860819905399,0.256395765921565,0.350535125170369,0.460160707620374,1,805,anndet[7],ACHU,2.66666666666667e-05,0.872295683751045
0.246418923481416,0.032608510601042,0.186492446476523,0.245114640038113,0.314604396270212,1,1541,anndet[8],ACHU,2.66666666666667e-05,0.872295683751045
0.144978595363133,0.0230205806832655,0.104703687957314,0.14340154775768,0.194934229904401,1,1789,anndet[9],ACHU,2.66666666666667e-05,0.872295683751045
0.188547198705156,0.0552327556354031,0.0990082962032285,0.181946888062935,0.319310767269556,1,3261,anndet[10],ACHU,2.66666666666667e-05,0.872295683751045
0.258237479439425,0.030324609193247,0.19948483269098,0.257760144095792,0.319566827989016,1,2115,anndet[11],ACHU,2.66666666666667e-05,0.872295683751045
0.228033593360498,0.0284459877394409,0.17380106998026,0.227424592713897,0.286142220512473,1,1982,anndet[12],ACHU,2.66666666666667e-05,0.872295683751045
0.284742735317817,0.0350514666817737,0.214256628789548,0.285173996232101,0.352718247100855,1,1663,anndet[13],ACHU,2.66666666666667e-05,0.872295683751045
0.150978712016641,0.0280554123699393,0.0998344112457323,0.149714403139074,0.208102997429217,1,1290,anndet[14],ACHU,2.66666666666667e-05,0.872295683751045
