mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
-0.134674412337156,0.0761794035812231,-0.303713249145315,-0.130833617971741,0.00199963605862806,1.05,109,trend,ACHU,0,0.873415303042534
0.0592892358589411,0.0802687262122711,-0.0862257601131761,0.057304173344628,0.232201664448807,1.07,61,trend2,ACHU,0,0.873415303042534
459.2528,92.7012806427654,322,441,680,1.1,116,totalN[1],ACHU,0,0.873415303042534
389.4816,77.5844100681499,272,379,589,1.06,147,totalN[2],ACHU,0,0.873415303042534
357.6296,58.2493067109124,258,353,486,1.04,178,totalN[3],ACHU,0,0.873415303042534
389.206666666667,65.8940014523543,292,379,536.275,1.07,106,totalN[4],ACHU,0,0.873415303042534
370.502666666667,54.7129210261721,291,361,508.275,1.08,142,totalN[5],ACHU,0,0.873415303042534
329.148,40.5767464848372,266,323,426,1.03,194,totalN[6],ACHU,0,0.873415303042534
283.098666666667,37.6108071920859,220,281,367,1.06,162,totalN[7],ACHU,0,0.873415303042534
304.353866666667,43.4069167433164,232,299,403,1.03,178,totalN[8],ACHU,0,0.873415303042534
290.057066666667,44.7692873201275,209,286.5,390,1.07,213,totalN[9],ACHU,0,0.873415303042534
291.7112,57.6568620798251,194,285,424.275,1.02,340,totalN[10],ACHU,0,0.873415303042534
284.558933333333,32.8563906239996,229,282,357,1.01,282,totalN[11],ACHU,0,0.873415303042534
296.721866666667,40.0213696815906,234,291,394,1.01,205,totalN[12],ACHU,0,0.873415303042534
325.168266666667,47.6999178361135,258,317,445.275,1.01,154,totalN[13],ACHU,0,0.873415303042534
263.972,49.5746701664526,183,258,381.275,1.01,135,totalN[14],ACHU,0,0.873415303042534
0.176639280794348,0.0328577694593785,0.115677345984021,0.176140006781999,0.244218744490071,1.05,125,anndet[1],ACHU,0,0.873415303042534
0.157182732472076,0.0285583581099028,0.100275330163028,0.156908975694536,0.215931123198253,1.04,168,anndet[2],ACHU,0,0.873415303042534
0.14155998039052,0.0235957674577652,0.0987473616018984,0.140050146483518,0.190611814956366,1.02,193,anndet[3],ACHU,0,0.873415303042534
0.20309262367555,0.0321333426706626,0.143561481430043,0.20276890761556,0.267704711042371,1.09,163,anndet[4],ACHU,0,0.873415303042534
0.220742027286282,0.0306694863561846,0.159253252697058,0.221825667309753,0.279970585911315,1.05,139,anndet[5],ACHU,0,0.873415303042534
0.28889859701197,0.0329889987418876,0.22356096114068,0.289484190792823,0.351708844522184,1.02,216,anndet[6],ACHU,0,0.873415303042534
0.35221665492122,0.0454976853305969,0.267270102941942,0.349846896101921,0.446090184154872,1.05,173,anndet[7],ACHU,0,0.873415303042534
0.246673807717617,0.0338506475617203,0.181207666948086,0.245878744538206,0.315349604577878,1.02,236,anndet[8],ACHU,0,0.873415303042534
0.144998450754612,0.0229778047409313,0.103755960246076,0.143740796642459,0.194117156444048,1.05,258,anndet[9],ACHU,0,0.873415303042534
0.188915413617138,0.0527070444330435,0.104095654352346,0.183393305128357,0.308271338782087,1.02,699,anndet[10],ACHU,0,0.873415303042534
0.260005996190991,0.0299100043435356,0.201409150629075,0.259373051055285,0.318836899335271,1.01,312,anndet[11],ACHU,0,0.873415303042534
0.231647118497959,0.0291091843104971,0.173011506205783,0.231833579147185,0.28829076848279,1.01,219,anndet[12],ACHU,0,0.873415303042534
0.290614263606717,0.037648440169737,0.20903316555629,0.291990236776643,0.358494422674766,1.01,198,anndet[13],ACHU,0,0.873415303042534
0.150811709416605,0.0271695079942926,0.0994816027242101,0.149832705004916,0.207201470126977,1.01,134,anndet[14],ACHU,0,0.873415303042534
3.3736,1.61461602328253,1,3,7,1.03,657,"N[1, 1]",ACHU,0,0.873415303042534
3.71493333333333,1.88437891569831,1,3,8,1.01,693,"N[2, 1]",ACHU,0,0.873415303042534
6.50373333333333,2.10547735003759,3,6,11,1.01,709,"N[3, 1]",ACHU,0,0.873415303042534
6.0408,1.94089496011479,3,6,11,1.02,669,"N[4, 1]",ACHU,0,0.873415303042534
4.69573333333333,1.91968865099527,2,4,9,1.02,852,"N[5, 1]",ACHU,0,0.873415303042534
4.51946666666667,2.01223776157408,1,4,9,1.02,838,"N[6, 1]",ACHU,0,0.873415303042534
3.6888,1.87768334531289,1,3,8,1.01,915,"N[7, 1]",ACHU,0,0.873415303042534
4.72586666666667,2.01701160261997,2,4,9,1.01,813,"N[8, 1]",ACHU,0,0.873415303042534
