"mean","sd","lcl","median","ucl","Rhat","n.eff","parameter","species","BayesP","GoFSlope"
502.523733333333,114.95124900279,345,478,800.275,1.59,86,"totalN[1]","ACHU",0.000266666666666667,0.871519360345714
397.3688,82.2644457646793,272,385,610,1.33,141,"totalN[2]","ACHU",0.000266666666666667,0.871519360345714
375.6504,66.9612315317418,265.725,368,536,1.25,141,"totalN[3]","ACHU",0.000266666666666667,0.871519360345714
396.194133333333,70.6788420385152,288.725,385,564,1.06,121,"totalN[4]","ACHU",0.000266666666666667,0.871519360345714
373.386933333333,48.8078347931167,299,367,494.275,1.04,152,"totalN[5]","ACHU",0.000266666666666667,0.871519360345714
324.4624,37.286224304866,261.725,321,405,1.07,263,"totalN[6]","ACHU",0.000266666666666667,0.871519360345714
275.474666666667,41.046204483032,206,271,372.55,1.55,118,"totalN[7]","ACHU",0.000266666666666667,0.871519360345714
292.9008,39.5317521562217,223,289,382,1.14,208,"totalN[8]","ACHU",0.000266666666666667,0.871519360345714
277.566933333334,42.0283240359153,200,277,365,1.21,191,"totalN[9]","ACHU",0.000266666666666667,0.871519360345714
280.239466666667,58.9265289316455,173.725,278,406,1.16,285,"totalN[10]","ACHU",0.000266666666666667,0.871519360345714
281.204,32.5887791262573,226,278,354.275,1.09,312,"totalN[11]","ACHU",0.000266666666666667,0.871519360345714
294.877333333333,36.9167583278154,233,291,382,1.02,237,"totalN[12]","ACHU",0.000266666666666667,0.871519360345714
324.902666666667,42.0893683749663,260,319,426,1.06,186,"totalN[13]","ACHU",0.000266666666666667,0.871519360345714
264.721066666667,50.455900305406,179,260,376,1.02,112,"totalN[14]","ACHU",0.000266666666666667,0.871519360345714
321.254666666666,86.1224753849227,209,301,548.275,1.35,95,"totalN[15]","ACHU",0.000266666666666667,0.871519360345714
335.191466666667,28.0028412179889,288,333,398,1,330,"totalN[1]","BANA",0,0.855805094150901
328.304533333333,27.652042038457,282,325,392,1.01,291,"totalN[2]","BANA",0,0.855805094150901
387.299466666667,31.1586544882065,334,384,458,1.03,303,"totalN[3]","BANA",0,0.855805094150901
402.373333333333,28.148679928859,353,401,463,1.01,278,"totalN[4]","BANA",0,0.855805094150901
537.839466666667,44.0862758952054,468,532,635.275,1.04,140,"totalN[5]","BANA",0,0.855805094150901
467.490666666667,30.4720712367191,418.725,464,538,1.02,304,"totalN[6]","BANA",0,0.855805094150901
436.558666666667,22.14657273119,396,436,481,1.01,418,"totalN[7]","BANA",0,0.855805094150901
553.4912,35.8594928866545,496,548,637.275,1.05,223,"totalN[8]","BANA",0,0.855805094150901
448.9256,41.6646042635662,380,445,541,1.01,246,"totalN[9]","BANA",0,0.855805094150901
466.711466666667,75.4873448928977,327,461,629.275,1.01,1025,"totalN[10]","BANA",0,0.855805094150901
402.9128,20.1443211469931,368,401.5,447,1,378,"totalN[11]","BANA",0,0.855805094150901
441.732,28.5630694379332,394,440,501.275,1.06,401,"totalN[12]","BANA",0,0.855805094150901
382.4328,18.7090038389693,350,382,420.275,1.01,438,"totalN[13]","BANA",0,0.855805094150901
344.398133333333,20.8038675111897,309,343,390,1.01,455,"totalN[14]","BANA",0,0.855805094150901
405.872266666667,20.9886848285716,372,403,451.275,1.01,581,"totalN[15]","BANA",0,0.855805094150901
498.041866666667,184.229165126637,230,464,964.55,1.28,42,"totalN[1]","BRQD",0.1568,0.962076526211586
497.5888,140.582885138691,336,460,881,1.18,48,"totalN[2]","BRQD",0.1568,0.962076526211586
419.6528,82.2248022009532,289,408,605,1.05,94,"totalN[3]","BRQD",0.1568,0.962076526211586
348.950666666667,79.9583912088582,187.45,348,512,1.09,100,"totalN[4]","BRQD",0.1568,0.962076526211586
383.179466666667,44.5444988936233,315,377,489.275,1.12,130,"totalN[5]","BRQD",0.1568,0.962076526211586
327.125066666667,29.3761413459458,276,325,392,1.03,273,"totalN[6]","BRQD",0.1568,0.962076526211586
297.266666666667,42.087194141826,218.725,296,385,1.06,161,"totalN[7]","BRQD",0.1568,0.962076526211586
267.906133333333,50.0827827876077,173.725,271,363.275,1.19,127,"totalN[8]","BRQD",0.1568,0.962076526211586
292.4584,54.5995216539849,186,292,411,1.2,142,"totalN[9]","BRQD",0.1568,0.962076526211586
312.001866666667,68.0760659609334,186,308,466.275,1.16,433,"totalN[10]","BRQD",0.1568,0.962076526211586
333.672,36.3844523145816,272,330,415,1.02,215,"totalN[11]","BRQD",0.1568,0.962076526211586
342.279733333334,49.4975004413578,257,339,457.55,1.07,189,"totalN[12]","BRQD",0.1568,0.962076526211586
382.930133333333,46.6596265613979,307.725,378,489,1,198,"totalN[13]","BRQD",0.1568,0.962076526211586
411.512533333333,65.8129516240986,306.725,403,567,1.2,169,"totalN[14]","BRQD",0.1568,0.962076526211586
441.474133333333,116.495672288826,238,435,703.275,1.25,77,"totalN[15]","BRQD",0.1568,0.962076526211586
287.9576,96.0840887424613,152,272,513,1.03,112,"totalN[1]","CAEL",0.9224,1.12285486314332
121.416533333333,105.202335723595,42,92,458.275,1.42,92,"totalN[2]","CAEL",0.9224,1.12285486314332
87.9522666666664,44.2983364573923,27,80.5,204,1.12,109,"totalN[3]","CAEL",0.9224,1.12285486314332
349.831466666664,165.746413021308,159,310,835.275,1.26,73,"totalN[4]","CAEL",0.9224,1.12285486314332
190.724266666666,67.4998096116445,97,179,369.275,1.28,104,"totalN[5]","CAEL",0.9224,1.12285486314332
191.029866666668,103.405972038996,87,160,496.275,1.72,77,"totalN[6]","CAEL",0.9224,1.12285486314332
86.4285333333331,37.5828855383892,40,77,183,1.44,160,"totalN[7]","CAEL",0.9224,1.12285486314332
32.3637333333333,20.9887487021366,9,26,88,1.28,152,"totalN[8]","CAEL",0.9224,1.12285486314332
20.0282666666667,16.6307793888835,2,15,67,1.17,186,"totalN[9]","CAEL",0.9224,1.12285486314332
66.4346666666666,179.49315699992,3,36,281.275,1.15,1858,"totalN[10]","CAEL",0.9224,1.12285486314332
42.0261333333333,20.3199497328159,19,37,95.2750000000001,1.35,256,"totalN[11]","CAEL",0.9224,1.12285486314332
33.7037333333334,13.7723735645621,14,31,66,1.01,335,"totalN[12]","CAEL",0.9224,1.12285486314332
5.99786666666671,7.50985807059096,0,4,28,1.01,394,"totalN[13]","CAEL",0.9224,1.12285486314332
10.9872,7.5706926321076,2,9,31,1.05,315,"totalN[14]","CAEL",0.9224,1.12285486314332
12.8936000000003,28.7658780369578,0,4,82,1.39,101,"totalN[15]","CAEL",0.9224,1.12285486314332
778.485333333334,146.004005299304,535,768,1092.275,1.11,88,"totalN[1]","FOTH",0.0056,0.924079616453652
724.424266666667,99.1646195152242,549.725,716,943.55,1.11,162,"totalN[2]","FOTH",0.0056,0.924079616453652
787.241333333335,126.687633018848,594,770,1109,1.08,79,"totalN[3]","FOTH",0.0056,0.924079616453652
737.368,94.0092135800004,577,733,941.55,1.06,187,"totalN[4]","FOTH",0.0056,0.924079616453652
603.374666666667,57.3523888251972,502,599,729.275,1.07,245,"totalN[5]","FOTH",0.0056,0.924079616453652
577.7784,41.7789239653606,506,575,673,1.01,324,"totalN[6]","FOTH",0.0056,0.924079616453652
683.083733333334,49.5991445702455,594,680,789,1.02,314,"totalN[7]","FOTH",0.0056,0.924079616453652
832.841066666667,75.6251535572373,704,826,993.275,1,180,"totalN[8]","FOTH",0.0056,0.924079616453652
663.2096,90.6318463322463,512,656,891,1.04,139,"totalN[9]","FOTH",0.0056,0.924079616453652
645.369866666667,130.547771808543,424.725,632,931,1,415,"totalN[10]","FOTH",0.0056,0.924079616453652
644.847733333333,56.2962149575543,552,638,778,1.02,254,"totalN[11]","FOTH",0.0056,0.924079616453652
551.6304,54.5729797476579,455.725,547,668,1.01,298,"totalN[12]","FOTH",0.0056,0.924079616453652
568.377866666667,45.5084419457069,489,565,667,1.01,225,"totalN[13]","FOTH",0.0056,0.924079616453652
694.650933333333,74.981174967824,560,690,849,1.03,192,"totalN[14]","FOTH",0.0056,0.924079616453652
557.414133333333,74.0074608044136,440,551,731,1.03,211,"totalN[15]","FOTH",0.0056,0.924079616453652
126.045866666667,49.4556770584912,63,116,249.275,1.02,183,"totalN[1]","GTCA",0.582933333333333,1.01619143561979
140.049066666667,51.7379648839384,69.725,132,279,1.01,146,"totalN[2]","GTCA",0.582933333333333,1.01619143561979
127.972533333333,44.9489742744568,64,121,222,1.14,121,"totalN[3]","GTCA",0.582933333333333,1.01619143561979
192.851466666666,60.84968353995,109,182,346.275,1.09,108,"totalN[4]","GTCA",0.582933333333333,1.01619143561979
108.894666666667,34.6755852228198,61,103,195.275,1.06,117,"totalN[5]","GTCA",0.582933333333333,1.01619143561979
120.450133333333,36.7506291417373,76,113,211.275,1.09,160,"totalN[6]","GTCA",0.582933333333333,1.01619143561979
82.8967999999998,24.3625428070335,46,79,138,1.2,171,"totalN[7]","GTCA",0.582933333333333,1.01619143561979
39.7141333333336,24.544555329059,9,32,94,1.4,50,"totalN[8]","GTCA",0.582933333333333,1.01619143561979
56.8077333333333,20.5869745179041,27,53.5,106,1.09,194,"totalN[9]","GTCA",0.582933333333333,1.01619143561979
40.0338666666667,26.0788793567098,10,36,95,1.09,332,"totalN[10]","GTCA",0.582933333333333,1.01619143561979
21.6074666666667,9.58743775150207,9,20,45,1.32,104,"totalN[11]","GTCA",0.582933333333333,1.01619143561979
20.5133333333333,7.69328746384943,10,19,39,1.13,346,"totalN[12]","GTCA",0.582933333333333,1.01619143561979
15.996,6.02836143887956,8,15,31,1.08,297,"totalN[13]","GTCA",0.582933333333333,1.01619143561979
5.33546666666667,4.31964943962244,0,4,16,1.21,293,"totalN[14]","GTCA",0.582933333333333,1.01619143561979
5.82106666666669,4.77956148452462,1,4,18.2750000000001,1.07,249,"totalN[15]","GTCA",0.582933333333333,1.01619143561979
308.869333333334,48.3017212380891,227,306,419,1.04,129,"totalN[1]","MTOR",0.2336,0.974993162097192
307.2456,44.8191672097236,232,303,407,1.01,121,"totalN[2]","MTOR",0.2336,0.974993162097192
344.894666666667,45.6670877145564,261,341,443.275,1.01,153,"totalN[3]","MTOR",0.2336,0.974993162097192
379.284266666667,57.1609991784851,258.725,379,490.275,1.02,90,"totalN[4]","MTOR",0.2336,0.974993162097192
430.480266666667,51.1031572995101,339,428,539,1.02,114,"totalN[5]","MTOR",0.2336,0.974993162097192
407.4976,49.1087531859362,319,404,516.275,1.01,90,"totalN[6]","MTOR",0.2336,0.974993162097192
469.367733333334,60.5787678599221,358.725,467,597,1.04,97,"totalN[7]","MTOR",0.2336,0.974993162097192
531.882133333333,70.5451052208045,417,526,696,1.05,73,"totalN[8]","MTOR",0.2336,0.974993162097192
475.1528,67.3374542204478,352,471.5,612,1.02,96,"totalN[9]","MTOR",0.2336,0.974993162097192
471.653866666667,81.5505883361427,332,464,654,1.05,140,"totalN[10]","MTOR",0.2336,0.974993162097192
404.911466666667,50.460130351763,318,400,514,1.01,80,"totalN[11]","MTOR",0.2336,0.974993162097192
459.088266666667,55.5793363193171,365,453,580,1.07,132,"totalN[12]","MTOR",0.2336,0.974993162097192
