"mean","sd","lcl","median","ucl","Rhat","n.eff","parameter","species","BayesP","GoFSlope"
386.1152,69.8007693194851,287,373,564,1.37,53,"totalN[1]","ACHU",0.000186666666666667,0.882303902601416
267.46588,68.5436000330715,193,248,479,1.77,23,"totalN[2]","ACHU",0.000186666666666667,0.882303902601416
306.081213333333,52.8177182444108,212,301,430,1.08,57,"totalN[3]","ACHU",0.000186666666666667,0.882303902601416
308.912973333333,44.8619395583929,241,301,421,1.23,44,"totalN[4]","ACHU",0.000186666666666667,0.882303902601416
378.824666666667,49.8375601528364,297,372,490,1.52,47,"totalN[5]","ACHU",0.000186666666666667,0.882303902601416
311.859946666667,39.8656504022981,248,304,405,1.93,61,"totalN[6]","ACHU",0.000186666666666667,0.882303902601416
216.677613333333,23.3722337469334,178,214,275,1.23,45,"totalN[7]","ACHU",0.000186666666666667,0.882303902601416
291.916453333333,40.943267553652,230,286,382,1.6,54,"totalN[8]","ACHU",0.000186666666666667,0.882303902601416
275.24364,53.2743784729184,195,267,401,2.49,149,"totalN[9]","ACHU",0.000186666666666667,0.882303902601416
309.744866666667,96.6438732020397,163,298,530,1.04,12599,"totalN[10]","ACHU",0.000186666666666667,0.882303902601416
307.95412,50.7698242005977,227,302,407,1.94,81,"totalN[11]","ACHU",0.000186666666666667,0.882303902601416
329.76476,41.2409203702978,246,331,409,1.47,80,"totalN[12]","ACHU",0.000186666666666667,0.882303902601416
378.486506666667,51.7965390383313,274,376,482,1.16,56,"totalN[13]","ACHU",0.000186666666666667,0.882303902601416
252.17892,62.6200195187199,175,236,425,2.47,65,"totalN[14]","ACHU",0.000186666666666667,0.882303902601416
353.654973333333,34.0242804276799,298,350,437,1.89,37,"totalN[1]","BANA",0,0.850168187375092
335.483493333333,50.7751371807505,268,319,440,4.57,15,"totalN[2]","BANA",0,0.850168187375092
380.880346666667,27.8677359065261,334,377,447,1.26,62,"totalN[3]","BANA",0,0.850168187375092
384.69988,26.7366905081237,341,381,444,1.12,37,"totalN[4]","BANA",0,0.850168187375092
632.025386666667,78.4548487413474,523,622,868.024999999994,1.78,21,"totalN[5]","BANA",0,0.850168187375092
479.0902,27.296070992603,435,475,545,1.28,68,"totalN[6]","BANA",0,0.850168187375092
419.324,21.330221370423,377,420,461,2.24,56,"totalN[7]","BANA",0,0.850168187375092
587.36316,55.2142566402575,491,587,710,2.97,27,"totalN[8]","BANA",0,0.850168187375092
434.750186666667,46.1986164020156,370,427,543,2.22,18,"totalN[9]","BANA",0,0.850168187375092
431.330253333333,128.703110526817,235,415,728,1.02,58473,"totalN[10]","BANA",0,0.850168187375092
386.710773333333,15.8244075221455,362,384,423,1.46,102,"totalN[11]","BANA",0,0.850168187375092
449.29576,33.3560509408841,391,446,519,2.22,24,"totalN[12]","BANA",0,0.850168187375092
374.024293333333,16.2894170481551,346,373,408,1.36,51,"totalN[13]","BANA",0,0.850168187375092
319.353173333333,24.5845880032495,283,315,376,1.9,17,"totalN[14]","BANA",0,0.850168187375092
338.903906666667,65.8471863541941,222,335,479,1.42,164,"totalN[1]","BRQD",0.14396,0.95848368488935
379.0824,60.2296343867212,282,372,517,1.23,87,"totalN[2]","BRQD",0.14396,0.95848368488935
362.81176,54.687589470875,274,356,491,1.59,98,"totalN[3]","BRQD",0.14396,0.95848368488935
335.769786666667,57.9985230806517,235,332,467,1.21,176,"totalN[4]","BRQD",0.14396,0.95848368488935
369.920746666667,33.3880804443946,312,368,439,1.07,140,"totalN[5]","BRQD",0.14396,0.95848368488935
330.45044,25.3238472808329,286,329,384,1.08,210,"totalN[6]","BRQD",0.14396,0.95848368488935
339.380266666667,46.8122779028507,247,338,441,1.11,93,"totalN[7]","BRQD",0.14396,0.95848368488935
298.82056,51.8732475598347,198,300,397,1.05,79,"totalN[8]","BRQD",0.14396,0.95848368488935
