mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.00160784983926325,0.0183403778185618,-0.035453267937258,0.00135213328543664,0.0387878871021924,1.21,77,trend,BANA,0,0.850168187375092
353.654973333333,34.0242804276799,298,350,437,1.89,37,totalN[1],BANA,0,0.850168187375092
335.483493333333,50.7751371807505,268,319,440,4.57,15,totalN[2],BANA,0,0.850168187375092
380.880346666667,27.8677359065261,334,377,447,1.26,62,totalN[3],BANA,0,0.850168187375092
384.69988,26.7366905081237,341,381,444,1.12,37,totalN[4],BANA,0,0.850168187375092
632.025386666667,78.4548487413474,523,622,868.024999999994,1.78,21,totalN[5],BANA,0,0.850168187375092
479.0902,27.296070992603,435,475,545,1.28,68,totalN[6],BANA,0,0.850168187375092
419.324,21.330221370423,377,420,461,2.24,56,totalN[7],BANA,0,0.850168187375092
587.36316,55.2142566402575,491,587,710,2.97,27,totalN[8],BANA,0,0.850168187375092
434.750186666667,46.1986164020156,370,427,543,2.22,18,totalN[9],BANA,0,0.850168187375092
431.330253333333,128.703110526817,235,415,728,1.02,58473,totalN[10],BANA,0,0.850168187375092
386.710773333333,15.8244075221455,362,384,423,1.46,102,totalN[11],BANA,0,0.850168187375092
449.29576,33.3560509408841,391,446,519,2.22,24,totalN[12],BANA,0,0.850168187375092
374.024293333333,16.2894170481551,346,373,408,1.36,51,totalN[13],BANA,0,0.850168187375092
319.353173333333,24.5845880032495,283,315,376,1.9,17,totalN[14],BANA,0,0.850168187375092
0.557211691656008,0.0404087650035718,0.469852807096901,0.556709747426354,0.638949209916255,2.53,16,anndet[1],BANA,0,0.850168187375092
0.530729651959796,0.0743116448439222,0.405678503468949,0.546435344940296,0.649047883670268,4.22,7,anndet[2],BANA,0,0.850168187375092
0.48300867353945,0.0332038288579636,0.412532463116114,0.485949340727826,0.550319830908906,1.39,23,anndet[3],BANA,0,0.850168187375092
0.564577794439986,0.0385809266858356,0.489072220478803,0.567105847221509,0.637094033412671,1.13,18,anndet[4],BANA,0,0.850168187375092
0.437870331692932,0.046206688028423,0.318189503172973,0.436254273152689,0.518456917123592,1.86,12,anndet[5],BANA,0,0.850168187375092
0.526828611693436,0.0261997507070319,0.466387789532886,0.531411028992163,0.572837088364621,1.42,24,anndet[6],BANA,0,0.850168187375092
0.65355576886479,0.0328053438942025,0.600284304533782,0.648010243245208,0.72976184368406,2.66,21,anndet[7],BANA,0,0.850168187375092
0.513722473778917,0.0474159523167072,0.424767549073175,0.509109257512238,0.61305731246308,3.45,17,anndet[8],BANA,0,0.850168187375092
0.457243045207181,0.044910951553374,0.364800891001416,0.460374936603518,0.525413079296877,2.32,10,anndet[9],BANA,0,0.850168187375092
0.87498321828758,0.163379563616894,0.36058919044706,0.941272052461574,0.997758771469199,1,65275,anndet[10],BANA,0,0.850168187375092
0.660120085894801,0.0257766594647603,0.604507990831035,0.666320857565388,0.697396555692076,1.61,28,anndet[11],BANA,0,0.850168187375092
0.550189636716403,0.0377755002547821,0.480926858776376,0.553607661316123,0.624848348994544,2.42,14,anndet[12],BANA,0,0.850168187375092
0.661452979641065,0.0273525140866392,0.607875640480334,0.662119600945361,0.711541630322956,1.49,23,anndet[13],BANA,0,0.850168187375092
0.626416357133445,0.0495737892615595,0.527745942100476,0.629178793217131,0.705596507901603,2.73,10,anndet[14],BANA,0,0.850168187375092
