mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.0216959648489269,0.0404647227120299,-0.0588004363379637,0.0215303799418363,0.107091395463727,1.03,272,trend,BANA,0,0.857935625293341
-0.169858793431937,0.0471154409749611,-0.260500290591377,-0.170146240953874,-0.074290754648467,1,125,trend2,BANA,0,0.857935625293341
327.384533333333,24.3227690311043,285,326,380,1,414,totalN[1],BANA,0,0.857935625293341
327.382133333333,25.9568522031448,282,326,383.275,1.01,302,totalN[2],BANA,0,0.857935625293341
390.6704,33.6823083622906,338,386.5,470,1,231,totalN[3],BANA,0,0.857935625293341
402.915733333333,29.0210111968287,353,400,467,1.05,290,totalN[4],BANA,0,0.857935625293341
531.629333333333,39.2562991305591,467,528,620,1.01,154,totalN[5],BANA,0,0.857935625293341
471.9776,32.6087818480589,421,468,546,1.05,218,totalN[6],BANA,0,0.857935625293341
441.9968,24.0047561393838,399,441,493.275,1.01,394,totalN[7],BANA,0,0.857935625293341
552.993866666667,34.1229667947995,498,548,632,1.03,269,totalN[8],BANA,0,0.857935625293341
453.574133333333,39.3071594622602,384,449,543,1.06,275,totalN[9],BANA,0,0.857935625293341
469.4928,65.0599069516551,354,465,605.275,1,838,totalN[10],BANA,0,0.857935625293341
402.991466666667,19.1527373450456,369,402,442,1.02,473,totalN[11],BANA,0,0.857935625293341
436.624533333333,25.4826827999252,393,435,492,1,436,totalN[12],BANA,0,0.857935625293341
377.413333333333,17.3785871970944,348,376,416,1.04,509,totalN[13],BANA,0,0.857935625293341
335.7424,20.8082428626801,300,334,381,1,349,totalN[14],BANA,0,0.857935625293341
0.535310034559058,0.0385485674385779,0.461535658335862,0.534047744116576,0.61189909137347,1,364,anndet[1],BANA,0,0.857935625293341
0.525396631676246,0.0410933727018936,0.445715866265963,0.524630102564413,0.609384716541668,1.01,300,anndet[2],BANA,0,0.857935625293341
0.470974437924402,0.0390577585453774,0.387590058501695,0.472778238899579,0.544745050685141,1,252,anndet[3],BANA,0,0.857935625293341
0.539041092859343,0.0388647802475168,0.461461187783875,0.538891877038642,0.61439539896742,1.06,280,anndet[4],BANA,0,0.857935625293341
0.499823019302728,0.036456668980837,0.42639382079519,0.500590857839538,0.566722068320132,1.01,158,anndet[5],BANA,0,0.857935625293341
0.52241444544048,0.0352945549770878,0.443957579624708,0.525287077249363,0.586143266226672,1.03,219,anndet[6],BANA,0,0.857935625293341
0.606970200364453,0.0321198426246313,0.542174011004955,0.606642533254494,0.668745700454833,1.01,383,anndet[7],BANA,0,0.857935625293341
0.52719783507822,0.0318175434425792,0.458047242714419,0.529822143789648,0.583409022809728,1.03,274,anndet[8],BANA,0,0.857935625293341
0.433929430648875,0.0371916525722948,0.360164060797779,0.434123918500955,0.507119740914445,1.05,252,anndet[9],BANA,0,0.857935625293341
0.543868171587742,0.0720289420251711,0.394581192061301,0.545232724464831,0.681444833150526,1,881,anndet[10],BANA,0,0.857935625293341
0.629452669707448,0.0295327933806114,0.572594508124028,0.628938949480448,0.686851437915651,1.02,426,anndet[11],BANA,0,0.857935625293341
0.549573838264511,0.0312290781848216,0.487048225448761,0.550378276752507,0.609938875962915,1,388,anndet[12],BANA,0,0.857935625293341
0.64496587309615,0.0297770946247765,0.584575235920094,0.645337768404434,0.700987286026132,1.04,438,anndet[13],BANA,0,0.857935625293341
0.584185544596621,0.0362130072852056,0.511245357354799,0.585377293496173,0.653579903524189,1,358,anndet[14],BANA,0,0.857935625293341
4.03493333333333,0.881997982427676,3,4,6,1,2733,"N[1, 1]",BANA,0,0.857935625293341
1.72586666666667,0.817942127155169,1,2,4,1,3496,"N[2, 1]",BANA,0,0.857935625293341
3.96453333333333,0.942503226613824,3,4,6,1,3193,"N[3, 1]",BANA,0,0.857935625293341
4.10746666666667,0.910460670498308,3,4,6,1,2312,"N[4, 1]",BANA,0,0.857935625293341
6.1104,0.979422097313132,5,6,8,1,2217,"N[5, 1]",BANA,0,0.857935625293341
3.24986666666667,0.96661737103852,2,3,5,1,2765,"N[6, 1]",BANA,0,0.857935625293341
4.12933333333333,0.959610224360708,3,4,6,1,3057,"N[7, 1]",BANA,0,0.857935625293341
4.34453333333333,1.08444012512981,3,4,7,1,2458,"N[8, 1]",BANA,0,0.857935625293341
3.4704,0.996688890108131,2,3,6,1,3100,"N[9, 1]",BANA,0,0.857935625293341
4.71866666666667,0.826377836692524,4,5,7,1,2101,"N[10, 1]",BANA,0,0.857935625293341
2.99573333333333,0.992359680904677,2,3,5,1,3202,"N[11, 1]",BANA,0,0.857935625293341
4.68906666666667,1.11171790786932,3,5,7,1,2038,"N[12, 1]",BANA,0,0.857935625293341
1.98586666666667,0.902894036008448,1,2,4,1,1907,"N[13, 1]",BANA,0,0.857935625293341
3.05653333333333,0.929068077997429,2,3,5,1,2194,"N[14, 1]",BANA,0,0.857935625293341
2.3912,0.628544279620021,2,2,4,1,3288,"N[15, 1]",BANA,0,0.857935625293341
3.75173333333333,0.847361670934704,3,4,6,1,2569,"N[16, 1]",BANA,0,0.857935625293341
3.34746666666667,1.04503180491398,2,3,6,1,2449,"N[17, 1]",BANA,0,0.857935625293341
4.8064,1.15062537648092,3,5,7,1,2116,"N[18, 1]",BANA,0,0.857935625293341
3.64453333333333,1.01930720531312,2,4,6,1.01,2491,"N[19, 1]",BANA,0,0.857935625293341
4.39093333333333,1.0913090229893,3,4,7,1,2525,"N[20, 1]",BANA,0,0.857935625293341
3.7848,0.865653195447197,3,4,6,1,2590,"N[21, 1]",BANA,0,0.857935625293341
5.73493333333333,0.819625201955953,5,6,8,1,2715,"N[22, 1]",BANA,0,0.857935625293341
2.5704,0.768636056294878,2,2,4,1,3251,"N[23, 1]",BANA,0,0.857935625293341
4.52426666666667,1.03258355105024,3,4,7,1.01,2995,"N[24, 1]",BANA,0,0.857935625293341
5.38266666666667,1.14136480255828,4,5,8,1,2010,"N[25, 1]",BANA,0,0.857935625293341
4.20533333333333,0.982901748793658,3,4,6,1,1873,"N[26, 1]",BANA,0,0.857935625293341
3.9432,0.961086230851062,3,4,6,1,2008,"N[27, 1]",BANA,0,0.857935625293341
4.25226666666667,1.06163180000251,3,4,7,1,2729,"N[28, 1]",BANA,0,0.857935625293341
5.62426666666667,0.775318059710903,5,5,8,1,2464,"N[29, 1]",BANA,0,0.857935625293341
3.6808,1.93691639779192,1,3,8,1,3750,"N[30, 1]",BANA,0,0.857935625293341
4.40613333333333,2.15165601692888,1,4,9,1,3297,"N[31, 1]",BANA,0,0.857935625293341
4.14186666666667,2.08607309774785,1,4,8,1,3750,"N[32, 1]",BANA,0,0.857935625293341
5.2552,1.28441149303313,3,5,8,1,2050,"N[33, 1]",BANA,0,0.857935625293341
5.61173333333333,1.12118280212867,4,5,8,1,2156,"N[34, 1]",BANA,0,0.857935625293341
3.83226666666667,0.889387316172431,3,4,6,1,2856,"N[35, 1]",BANA,0,0.857935625293341
3.03733333333333,0.92831533474268,2,3,5,1,3013,"N[36, 1]",BANA,0,0.857935625293341
1.66026666666667,1.33994777941878,0,1,5,1,3223,"N[37, 1]",BANA,0,0.857935625293341
4.08773333333333,0.968445299729679,3,4,6,1,2492,"N[38, 1]",BANA,0,0.857935625293341
4.07653333333333,0.958047011708017,3,4,6,1,2733,"N[39, 1]",BANA,0,0.857935625293341
3.55146666666667,1.12508758241616,2,3,6,1,2345,"N[40, 1]",BANA,0,0.857935625293341
4.7584,2.30318128069339,1,5,10,1,3750,"N[41, 1]",BANA,0,0.857935625293341
5.48506666666667,1.16000107308259,4,5,8,1,2438,"N[42, 1]",BANA,0,0.857935625293341
3.91013333333333,0.924852461806306,3,4,6,1,3153,"N[43, 1]",BANA,0,0.857935625293341
3.54933333333333,0.759113445462344,3,3,5,1,2276,"N[44, 1]",BANA,0,0.857935625293341
3.8856,0.891548055602979,3,4,6,1,2067,"N[45, 1]",BANA,0,0.857935625293341
0.678933333333333,0.851690258193159,0,0,3,1,2628,"N[46, 1]",BANA,0,0.857935625293341
4.24853333333333,1.0347866403885,3,4,6,1,3083,"N[47, 1]",BANA,0,0.857935625293341
5.37386666666667,1.04625472772024,4,5,8,1,1800,"N[48, 1]",BANA,0,0.857935625293341
5.55173333333333,1.11075920214821,4,5,8,1,1765,"N[49, 1]",BANA,0,0.857935625293341
2.7816,1.35055093823094,1,3,6,1,3750,"N[50, 1]",BANA,0,0.857935625293341
2.63173333333333,0.774772914068238,2,2,4,1,3278,"N[51, 1]",BANA,0,0.857935625293341
3.2136,0.467083023755187,3,3,4,1,2861,"N[52, 1]",BANA,0,0.857935625293341
2.5152,0.723907478809804,2,2,4,1,2993,"N[53, 1]",BANA,0,0.857935625293341
3.9568,0.883294108585547,3,4,6,1,3082,"N[54, 1]",BANA,0,0.857935625293341
5.09653333333333,0.990896807249669,4,5,7,1,2665,"N[55, 1]",BANA,0,0.857935625293341
3.91466666666667,0.927153773287208,3,4,6,1,2523,"N[56, 1]",BANA,0,0.857935625293341
5.12506666666667,1.00867717504684,4,5,7,1,2409,"N[57, 1]",BANA,0,0.857935625293341
2.87733333333333,0.865381953322111,2,3,5,1.01,2885,"N[58, 1]",BANA,0,0.857935625293341
2.3768,1.05143547800955,1,2,5,1,3049,"N[59, 1]",BANA,0,0.857935625293341
2.47733333333333,0.711445380965338,2,2,4,1,2851,"N[60, 1]",BANA,0,0.857935625293341
3.18453333333333,0.902606245841211,2,3,5,1,2461,"N[61, 1]",BANA,0,0.857935625293341
3.03253333333333,0.845181679152139,2,3,5,1,2188,"N[62, 1]",BANA,0,0.857935625293341
2.044,0.977711057373184,1,2,4,1,2606,"N[63, 1]",BANA,0,0.857935625293341
4.35146666666667,1.08393626518171,3,4,7,1,2284,"N[64, 1]",BANA,0,0.857935625293341
2.43173333333333,0.672998595430488,2,2,4,1,2952,"N[65, 1]",BANA,0,0.857935625293341
3.45173333333333,1.04790099148361,2,3,6,1,2375,"N[66, 1]",BANA,0,0.857935625293341
3.26613333333333,0.984868031548444,2,3,5,1,2754,"N[67, 1]",BANA,0,0.857935625293341
4.2848,0.969779916350255,3,4,6,1,2146,"N[68, 1]",BANA,0,0.857935625293341
2.8816,0.903953912199124,2,3,5,1,2783,"N[69, 1]",BANA,0,0.857935625293341
3.98853333333333,0.933720695950187,3,4,6,1,2479,"N[70, 1]",BANA,0,0.857935625293341
4.09546666666667,0.893326512251196,3,4,6,1,2451,"N[71, 1]",BANA,0,0.857935625293341
2.6568,0.823323259510245,2,2,5,1,2682,"N[72, 1]",BANA,0,0.857935625293341
4.21813333333333,1.01016003440094,3,4,6,1,2488,"N[73, 1]",BANA,0,0.857935625293341
4.45413333333333,1.04597068002206,3,4,7,1,2649,"N[74, 1]",BANA,0,0.857935625293341
1.6192,0.767820664577861,1,1,3,1,3141,"N[75, 1]",BANA,0,0.857935625293341
3.91146666666667,0.889553931590516,3,4,6,1,2794,"N[76, 1]",BANA,0,0.857935625293341
2.24186666666667,0.494738098827994,2,2,3,1,3320,"N[77, 1]",BANA,0,0.857935625293341
3.88773333333333,0.808024527180515,3,4,6,1,2783,"N[78, 1]",BANA,0,0.857935625293341
1.45973333333333,0.651939620640295,1,1,3,1,3005,"N[79, 1]",BANA,0,0.857935625293341
2.4128,0.648980076764567,2,2,4,1,2330,"N[80, 1]",BANA,0,0.857935625293341
3.4248,0.647191358956552,3,3,5,1,2525,"N[81, 1]",BANA,0,0.857935625293341
3.64613333333333,0.76070100992174,3,4,5,1,2562,"N[82, 1]",BANA,0,0.857935625293341
4.42693333333333,2.15988548082986,1,4,9,1,3646,"N[83, 1]",BANA,0,0.857935625293341
4.14533333333333,2.09393905763661,1,4,9,1,3567,"N[84, 1]",BANA,0,0.857935625293341
4.37413333333333,2.15893504202722,1,4,9,1,3895,"N[85, 1]",BANA,0,0.857935625293341
4.0168,2.04431705513745,1,4,9,1,2956,"N[86, 1]",BANA,0,0.857935625293341
3.32746666666667,1.85093107231057,0,3,7,1,3750,"N[87, 1]",BANA,0,0.857935625293341
3.46133333333333,1.89367222280385,0,3,8,1,3177,"N[88, 1]",BANA,0,0.857935625293341
3.6064,0.754650629553868,3,3,5,1,2467,"N[1, 2]",BANA,0,0.857935625293341
5.53466666666667,1.03202821868106,4,5,8,1,1878,"N[2, 2]",BANA,0,0.857935625293341
3.87413333333333,0.9100064534685,3,4,6,1,2072,"N[3, 2]",BANA,0,0.857935625293341
4.03146666666667,0.943635152748467,3,4,6,1,2113,"N[4, 2]",BANA,0,0.857935625293341
3.68026666666667,0.794022704190605,3,4,6,1,2578,"N[5, 2]",BANA,0,0.857935625293341
3.2112,0.982472371378863,2,3,5,1,1932,"N[6, 2]",BANA,0,0.857935625293341
4.11173333333333,1.02361861757298,3,4,6,1,2750,"N[7, 2]",BANA,0,0.857935625293341
3.36533333333333,1.03904737816745,2,3,6,1,2128,"N[8, 2]",BANA,0,0.857935625293341
4.49093333333333,1.04464131117526,3,4,7,1,2068,"N[9, 2]",BANA,0,0.857935625293341
3.2024,0.986353728798253,2,3,5,1,2076,"N[10, 2]",BANA,0,0.857935625293341
3.18693333333333,1.03962051334707,2,3,6,1,3037,"N[11, 2]",BANA,0,0.857935625293341
5.16933333333333,1.04951732651437,4,5,8,1,1870,"N[12, 2]",BANA,0,0.857935625293341
