mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.0100118540507753,0.0226149257339088,-0.0474919761906589,0.0121917043426669,0.0490333514772553,1.19,305,trend,BRQD,0.227589333333333,0.971271736979054
331.231413333333,99.2176617374109,203,315,632,1.34,283,totalN[1],BRQD,0.227589333333333,0.971271736979054
380.636021333333,112.735747498551,268,349,736,1.12,110,totalN[2],BRQD,0.227589333333333,0.971271736979054
351.477514666667,91.3882952687005,253,333,582,1.12,86,totalN[3],BRQD,0.227589333333333,0.971271736979054
337.431130666667,92.8141954132784,215,321,616,1.42,200,totalN[4],BRQD,0.227589333333333,0.971271736979054
366.982693333333,36.0749083058295,309,362,449,1.02,155,totalN[5],BRQD,0.227589333333333,0.971271736979054
328.601445333333,30.9219869631167,281,324,401,1.13,232,totalN[6],BRQD,0.227589333333333,0.971271736979054
320.502832,44.7014202138695,244,317,416,1.13,167,totalN[7],BRQD,0.227589333333333,0.971271736979054
299.713093333333,44.452207315549,215,299,388,1.01,191,totalN[8],BRQD,0.227589333333333,0.971271736979054
352.650016,72.4239410352567,238,342,543,1.16,501,totalN[9],BRQD,0.227589333333333,0.971271736979054
363.00104,85.3213734702381,229,354,561,1.03,7778,totalN[10],BRQD,0.227589333333333,0.971271736979054
362.246250666667,45.8412957081923,284,357,464,1.03,135,totalN[11],BRQD,0.227589333333333,0.971271736979054
373.044261333333,57.30025642733,278,365,512,1.08,206,totalN[12],BRQD,0.227589333333333,0.971271736979054
401.99408,58.0661584566,314,395,554,1.26,123,totalN[13],BRQD,0.227589333333333,0.971271736979054
379.075072,59.22351842353,292,372,510,1.2,123,totalN[14],BRQD,0.227589333333333,0.971271736979054
0.0575647570523963,0.0156994807230077,0.0251867049559312,0.0551190271505269,0.0931618465960946,1.44,66,anndet[1],BRQD,0.227589333333333,0.971271736979054
0.163925117986797,0.0332448437725339,0.0791898084885846,0.170015714630205,0.224846009963247,1.05,78,anndet[2],BRQD,0.227589333333333,0.971271736979054
0.155824717334612,0.02863613897693,0.0906158324396879,0.15827089007955,0.207864062144512,1.13,73,anndet[3],BRQD,0.227589333333333,0.971271736979054
0.0644511159654611,0.0155846866872078,0.030952492896328,0.0645854367865478,0.092378493937264,1.48,70,anndet[4],BRQD,0.227589333333333,0.971271736979054
0.333962300468819,0.0308389937496606,0.273117195144922,0.33523158383561,0.392186893370916,1.03,137,anndet[5],BRQD,0.227589333333333,0.971271736979054
0.355050547856327,0.0306078128437748,0.291920576034678,0.358445455182602,0.402621506426805,1.12,149,anndet[6],BRQD,0.227589333333333,0.971271736979054
0.190689418034467,0.026956627220452,0.141902809148016,0.191646045852362,0.241676670160214,1.09,90,anndet[7],BRQD,0.227589333333333,0.971271736979054
0.149070788977461,0.0222624801229288,0.108710287021469,0.150054700288425,0.199682394981611,1.03,92,anndet[8],BRQD,0.227589333333333,0.971271736979054
0.0528743973760624,0.0120620522602906,0.029827687977925,0.053633985554395,0.0767593258236927,1.24,92,anndet[9],BRQD,0.227589333333333,0.971271736979054
0.502002503466104,0.282445684623029,0.0349563430882737,0.503278433213496,0.965583300323543,1,187019,anndet[10],BRQD,0.227589333333333,0.971271736979054
0.24019653483563,0.0302021081326496,0.185240946783967,0.241334702958491,0.303816378735943,1.06,96,anndet[11],BRQD,0.227589333333333,0.971271736979054
0.136585229056496,0.0199465789743501,0.0985647973244773,0.137285021626366,0.178565807462236,1.09,91,anndet[12],BRQD,0.227589333333333,0.971271736979054
0.250210632761005,0.034114508059083,0.175686586946327,0.249708165362061,0.314390004481869,1.28,100,anndet[13],BRQD,0.227589333333333,0.971271736979054
0.182490224835999,0.0256203300242465,0.132913569820154,0.18229989169395,0.226512289613126,1.21,98,anndet[14],BRQD,0.227589333333333,0.971271736979054
