mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
-0.062319436400533,0.10451025001211,-0.26497716199989,-0.0599791105841788,0.139297433011256,1.44,41,trend,BRQD,0.1744,0.964154631366867
0.19044403006026,0.122250363328533,-0.118445248612467,0.20853039481462,0.381223721676478,1.48,27,trend2,BRQD,0.1744,0.964154631366867
527.134933333333,211.375667724008,211.725,506,1008.275,1.17,27,totalN[1],BRQD,0.1744,0.964154631366867
522.5032,126.650218306849,326,507,802.55,1.2,68,totalN[2],BRQD,0.1744,0.964154631366867
438.4688,82.8833614202518,302.725,431,622.275,1.3,98,totalN[3],BRQD,0.1744,0.964154631366867
348.1008,76.5182452132832,196,349,493,1.08,61,totalN[4],BRQD,0.1744,0.964154631366867
393.88,40.6021297731769,326.725,391,481,1.06,262,totalN[5],BRQD,0.1744,0.964154631366867
335.281866666667,30.5997185595304,283,333,403,1.02,234,totalN[6],BRQD,0.1744,0.964154631366867
309.358933333333,45.9597887372984,228,306,410.275,1.03,206,totalN[7],BRQD,0.1744,0.964154631366867
274.6984,49.6647654562141,183,275,371,1.06,124,totalN[8],BRQD,0.1744,0.964154631366867
297.187733333333,55.7395197438816,187.725,297,412.275,1.05,182,totalN[9],BRQD,0.1744,0.964154631366867
325.237333333333,81.5615220639647,184.725,318,511,1.05,365,totalN[10],BRQD,0.1744,0.964154631366867
357.542133333333,43.3859429861244,285,352,458,1.01,263,totalN[11],BRQD,0.1744,0.964154631366867
368.651466666667,59.4217926721114,266,364,501.275,1.06,168,totalN[12],BRQD,0.1744,0.964154631366867
416.2184,55.1883656485748,322,411,543.275,1,181,totalN[13],BRQD,0.1744,0.964154631366867
445.5,81.3204894591039,304,439,626,1.02,135,totalN[14],BRQD,0.1744,0.964154631366867
0.0423080104674317,0.0190584289577423,0.0174476424645427,0.0375128357754595,0.0918866228778669,1.06,45,anndet[1],BRQD,0.1744,0.964154631366867
0.120114253306946,0.0279221013499047,0.0723748687717754,0.117819485834299,0.181018252376006,1.19,85,anndet[2],BRQD,0.1744,0.964154631366867
0.123372514438473,0.0237747329333826,0.0827764969461035,0.121248876242478,0.174244630703799,1.25,139,anndet[3],BRQD,0.1744,0.964154631366867
0.0635889309625087,0.0178374981043371,0.0397863841712109,0.0601700133270288,0.108108091340378,1.06,56,anndet[4],BRQD,0.1744,0.964154631366867
