"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"trend",-0.193074351754604,0.112066394570401,-0.441930938646419,-0.252825033704695,-0.182876046567243,-0.122169845843919,0.00292108143669013,1.17391567380633,21,1,0.9734
"totalN[1]",148.606033333333,80.9524362418863,80,105,127,164,370,1.07791914715381,230,0,1
"totalN[2]",73.1932333333333,44.3770947497712,26,40,59,94,187,1.26177726626878,15,0,1
"totalN[3]",35.7911333333333,27.2478890246094,14,20,26,39,118,1.40952852244283,12,0,1
"totalN[4]",119.081266666667,39.5198775692224,76,95,110,132,222,1.01760228085839,283,0,1
"totalN[5]",96.5816666666667,32.2773221432589,58,74,89,110,178,1.00717870460544,1216,0,1
"totalN[6]",119.716566666667,72.7117684119135,51,75,98,138,321,1.07175484828093,83,0,1
"totalN[7]",90.5395333333333,54.6437794740023,35,55,74,107,246,1.0104810924315,752,0,1
"totalN[8]",34.5183,29.2882694128697,6,16,27,44,112,1.10701248821114,37,0,1
"totalN[9]",13.9151333333333,20.3378444919689,1,2,6,18,66,1.53157198919664,10,0,1
"totalN[10]",81.6351666666667,1474.16570593254,0,11,25,50,316,1.26818671107089,6543,1,1
"totalN[11]",60.8064,65.3472508563277,18,32,46,70,175,1.1885081063796,128,0,1
"totalN[12]",29.2705333333333,20.3171299951854,10,17,23,34,89.0249999999978,1.12114340357525,31,0,1
"totalN[13]",8.65096666666667,14.7073638908307,0,0,3,11,46,1.46368116796498,12,1,1
"totalN[14]",23.1994333333333,35.1303069200137,2,6,13,26,107,1.31117050136473,20,0,1
"fit",203.56615112983,35.223612656694,143.417415425391,179.238143304266,200.750323791933,224.539473153641,278.966443281303,1.09893405206701,30,0,1
"fit.new",204.061393375714,36.077501619944,141.597043921182,179.241962202142,201.191167721917,225.356351460628,282.754597154516,1.10574892964924,29,0,1
"anndet[1]",0.201010771070689,0.0643345663970037,0.0700823802544038,0.156987062421346,0.200290555138082,0.245830796792473,0.327334338744745,1.00722936927895,533,0,1
"anndet[2]",0.15163996598137,0.0799714033768113,0.0422921231975959,0.0855320063463451,0.137964939891078,0.204729568013317,0.332460895501036,1.28950958187443,13,0,1
"anndet[3]",0.233662488750332,0.10888045968056,0.0507316262816447,0.15273677038177,0.229519092786468,0.310744730673478,0.445473031355536,1.47567876402247,9,0,1
"anndet[4]",0.227714655705271,0.0578609278276102,0.112154093464559,0.189927803860807,0.227219495450737,0.265828295103708,0.341703549341423,1.02849150278396,110,0,1
"anndet[5]",0.207425921058594,0.0593577892944521,0.102330229137564,0.164419657365658,0.204360287796651,0.246514716550027,0.331274430999687,1.00661614521513,489,0,1
"anndet[6]",0.115430694666394,0.0492138522374687,0.0341014036522213,0.0791041911194815,0.111091389270554,0.146908916063856,0.221963697838823,1.02745549537152,124,0,1
"anndet[7]",0.0968620178234992,0.0460493146328608,0.0275005020058249,0.0622734525281944,0.0902564159606875,0.124268979144012,0.202534138755791,1.01293659330493,267,0,1
"anndet[8]",0.0746295881880876,0.0607582060799155,0.0110786792940244,0.0357744599855659,0.0575702132534423,0.0919905004049559,0.249069301631709,1.2288994661167,20,0,1
"anndet[9]",0.153257077204461,0.139236508922668,0.00662804547632875,0.0409795497971816,0.111706962950889,0.220015778117905,0.512728683278984,1.74515087635045,8,0,1
"anndet[10]",0.552571629408134,0.242199723207433,0.0819670042185888,0.370607250837726,0.56570570658898,0.745836664526916,0.956326618655541,1.00650558652103,402,0,1
"anndet[11]",0.0759173063255559,0.0453239712816137,0.0165598234638086,0.043646728398065,0.0658544645689068,0.0991029711403931,0.191442208500244,1.04336637545553,250,0,1
"anndet[12]",0.14057924209891,0.0748628702954227,0.0316931948710269,0.0880993875823189,0.128399963349515,0.177791501875012,0.325218268967971,1.32412684741206,13,0,1
"anndet[13]",0.151245897764208,0.189423612895138,0.00118600688577197,0.0217002652140376,0.0664949309415236,0.216931080374314,0.712611685314832,1.78576624002589,8,0,1
"anndet[14]",0.164023962956976,0.156927979089649,0.00952700652155958,0.0432990219355647,0.112146733084064,0.237994595045208,0.567701574479531,1.61189732324092,8,0,1
"deviance",929.730892486407,115.524387883269,700.920787555607,850.013914791961,931.431459907132,1011.97253082711,1146.07398623813,1.13170998915252,24,0,1
