mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
-0.30186444936329,0.103870312681538,-0.52486804672332,-0.296165249285023,-0.111548492095113,1.01,216,trend,CAEL,0.552208,1.01389213145113
221.89104,129.00432976846,101,186,580,1.01,566,totalN[1],CAEL,0.552208,1.01389213145113
68.9113813333333,47.2722807111177,27,55,204,1.08,654,totalN[2],CAEL,0.552208,1.01389213145113
32.9660213333333,18.4982318011201,16,28,79,1.01,732,totalN[3],CAEL,0.552208,1.01389213145113
162.156629333333,72.3322300153484,88,142,372,1.02,726,totalN[4],CAEL,0.552208,1.01389213145113
122.041125333333,52.1825839096848,67,108,259,1.01,999,totalN[5],CAEL,0.552208,1.01389213145113
183.537994666667,87.8939323706126,76,162,414,1,1105,totalN[6],CAEL,0.552208,1.01389213145113
54.5914826666667,27.4385561011926,26,47,129,1,999,totalN[7],CAEL,0.552208,1.01389213145113
15.8109066666667,12.439637602535,4,12,50,1.03,920,totalN[8],CAEL,0.552208,1.01389213145113
8.36872533333333,9.36546322534907,1,5,34,1.01,1626,totalN[9],CAEL,0.552208,1.01389213145113
125.255536,19745.0959590698,0,13,205.524999999994,1.24,180803,totalN[10],CAEL,0.552208,1.01389213145113
29.5717813333333,18.7183428428044,12,24,81,1.03,704,totalN[11],CAEL,0.552208,1.01389213145113
17.2785013333333,9.52647474290344,8,15,42,1.01,1031,totalN[12],CAEL,0.552208,1.01389213145113
1.11952,2.51678937381604,0,0,8,1.12,1586,totalN[13],CAEL,0.552208,1.01389213145113
4.87191466666667,4.22580123213305,2,4,16,1.01,1347,totalN[14],CAEL,0.552208,1.01389213145113
0.151693385100649,0.0568729788873068,0.0487170900089512,0.148799932674806,0.270527130763859,1.01,965,anndet[1],CAEL,0.552208,1.01389213145113
0.159206249551283,0.0724121152220673,0.0402584274807258,0.150889925446721,0.319101714190427,1.01,850,anndet[2],CAEL,0.552208,1.01389213145113
0.2487767691221,0.0918489597699168,0.0874046645350111,0.24380680159825,0.441703563273909,1,919,anndet[3],CAEL,0.552208,1.01389213145113
0.189087966195828,0.0594374892982548,0.0709379331829705,0.189215589471665,0.305669112933001,1.01,1114,anndet[4],CAEL,0.552208,1.01389213145113
0.185607418524728,0.0602335726266944,0.0773551231593968,0.184096387817943,0.308406645786018,1,1244,anndet[5],CAEL,0.552208,1.01389213145113
0.0846604338475548,0.0340250057202401,0.0336806340545111,0.0800528610904281,0.164493699814512,1,1153,anndet[6],CAEL,0.552208,1.01389213145113
0.162837518519042,0.0656579527894779,0.0534883128474131,0.156451305902787,0.305223469636149,1,1020,anndet[7],CAEL,0.552208,1.01389213145113
0.176340233682085,0.114455801569725,0.0320493219448745,0.150524570365126,0.441835362390691,1.01,368,anndet[8],CAEL,0.552208,1.01389213145113
0.140606211100919,0.121407958783747,0.0165408043513883,0.103022643447108,0.474647244464632,1.01,243,anndet[9],CAEL,0.552208,1.01389213145113
0.501549265774856,0.248065820815361,0.0607223165429884,0.501998036959069,0.940304382190796,1,187500,anndet[10],CAEL,0.552208,1.01389213145113
0.177562423047641,0.0964884308083558,0.0427345732917911,0.162350199672294,0.40747274521124,1.02,474,anndet[11],CAEL,0.552208,1.01389213145113
0.263425016770307,0.10490535915568,0.0840928906796465,0.257091047758584,0.480592668469218,1.01,727,anndet[12],CAEL,0.552208,1.01389213145113
0.402680168901667,0.268188801857928,0.0342928171241079,0.358059407649657,0.912869559041342,1.03,117,anndet[13],CAEL,0.552208,1.01389213145113
0.269932465174968,0.151675332860965,0.048668372936336,0.245897078984695,0.607635481408807,1.01,330,anndet[14],CAEL,0.552208,1.01389213145113
