mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.0107942481314478,0.0823738944540446,-0.0742867751273588,-0.0113463616599655,0.118015881181668,Inf,0,trend,FOTH,1,1.14788437164873
0.725068936157083,0.287771382748362,0.332949192753669,0.876417483891836,0.965840131825744,Inf,0,trend2,FOTH,1,1.14788437164873
1856.27777777778,189.365754266417,1623.7,1794,2156.925,6.96,31,totalN[1],FOTH,1,1.14788437164873
697.777777777778,105.181387055917,568.4,678.5,858.55,9.13,18,totalN[2],FOTH,1,1.14788437164873
400.277777777778,33.0610941699215,349.125,411,440.15,8.11,18,totalN[3],FOTH,1,1.14788437164873
361.333333333333,32.7126527059305,322.55,349,426.75,7.56,19,totalN[4],FOTH,1,1.14788437164873
405.222222222222,35.7549758866314,356.85,401.5,464.925,4.23,18,totalN[5],FOTH,1,1.14788437164873
487,20.6739392643464,449.525,491.5,515.15,2.74,18,totalN[6],FOTH,1,1.14788437164873
532.611111111111,30.1059675321314,489.25,529,577.3,5.87,18,totalN[7],FOTH,1,1.14788437164873
694.722222222222,102.9527621865,549.85,707.5,830.05,9.56,43,totalN[8],FOTH,1,1.14788437164873
360.444444444445,126.67708935447,230.425,314,553.725,10.04,18,totalN[9],FOTH,1,1.14788437164873
220.5,250.59159415037,30.425,150.5,835.775,1.73,34,totalN[10],FOTH,1,1.14788437164873
558,30.5151842627279,511.225,555.5,609.025,2.96,18,totalN[11],FOTH,1,1.14788437164873
364.777777777778,45.1162623028882,286.8,353.5,435.025,5.4,18,totalN[12],FOTH,1,1.14788437164873
585.777777777778,99.1009915992151,466.975,557,727.325,13.16,91,totalN[13],FOTH,1,1.14788437164873
444.611111111111,40.4607855015037,392.55,437,513.625,4.46,18,totalN[14],FOTH,1,1.14788437164873
0.0958472501817445,0.0200966217594719,0.0757322726385195,0.0878125289397097,0.1266979987384,39.56,18,anndet[1],FOTH,1,1.14788437164873
0.1795387077531,0.0265473988933176,0.138698319196934,0.190547008667249,0.210224540646558,73.38,18,anndet[2],FOTH,1,1.14788437164873
0.413767051661563,0.0438197566261012,0.367195613229263,0.4044016214332,0.499250752229842,14.38,18,anndet[3],FOTH,1,1.14788437164873
0.338671045596699,0.03130891532719,0.275969480216399,0.346233611439414,0.369169057663855,109.2,18,anndet[4],FOTH,1,1.14788437164873
0.416345120645567,0.0427718942543754,0.355845812364336,0.423700285268999,0.474502904910575,2.95,18,anndet[5],FOTH,1,1.14788437164873
0.444285294370848,0.0163724227315621,0.424513198070183,0.445224391146038,0.474592734010646,2.33,13,anndet[6],FOTH,1,1.14788437164873
0.460553945741355,0.0304877946190481,0.411705229877355,0.458066624212307,0.502024835525277,41.88,18,anndet[7],FOTH,1,1.14788437164873
0.379847708954205,0.032853055299972,0.340026085287171,0.376509068663473,0.425612801238264,307.37,13,anndet[8],FOTH,1,1.14788437164873
0.26483191512069,0.0863292793235645,0.148165400602868,0.273102079657488,0.371254674609016,23.09,18,anndet[9],FOTH,1,1.14788437164873
0.372383721919692,0.180561600513096,0.109018203878558,0.384114332411152,0.743891876445961,1.13,144,anndet[10],FOTH,1,1.14788437164873
0.335727493424876,0.0145746821789617,0.313416730879629,0.336796008294303,0.356487087730701,2.36,18,anndet[11],FOTH,1,1.14788437164873
0.359839849800289,0.0601931190970992,0.312695347437594,0.337650216766915,0.5120907170026,12.96,16,anndet[12],FOTH,1,1.14788437164873
0.407519913229309,0.0662524629971363,0.315976295977172,0.426737141657191,0.487856477602001,33.39,18,anndet[13],FOTH,1,1.14788437164873
0.356381374052598,0.0263095478043003,0.326283332233342,0.346243369049721,0.401158889367391,6.72,18,anndet[14],FOTH,1,1.14788437164873
