mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
-0.0417735073304649,0.0742152117925506,-0.172049734848464,-0.0478118785981403,0.116964157199152,1.57,62,trend,FOTH,0.0104,0.926853629441102
0.0326343356964133,0.0861208090273599,-0.171083460344021,0.0437432098859316,0.172277732995466,1.58,35,trend2,FOTH,0.0104,0.926853629441102
787.557333333333,154.003541313456,526.725,782,1104,1.11,74,totalN[1],FOTH,0.0104,0.926853629441102
734.4144,112.951704263248,530.725,731,970,1.58,134,totalN[2],FOTH,0.0104,0.926853629441102
806.267466666667,124.646103168898,568,806,1058,1.38,105,totalN[3],FOTH,0.0104,0.926853629441102
770.769866666667,113.587297962629,577.725,758,1043,1.11,126,totalN[4],FOTH,0.0104,0.926853629441102
597.352533333333,58.0497389557752,497,593,721,1,212,totalN[5],FOTH,0.0104,0.926853629441102
585.661333333333,40.726884069107,511,584,669,1.02,389,totalN[6],FOTH,0.0104,0.926853629441102
705.009333333333,51.5765290590804,613,703,812.275,1.03,291,totalN[7],FOTH,0.0104,0.926853629441102
883.706933333333,83.8695765668049,749.725,873,1069.275,1.17,163,totalN[8],FOTH,0.0104,0.926853629441102
717.652266666667,121.245431540495,544,697,1036,1.04,95,totalN[9],FOTH,0.0104,0.926853629441102
667.1312,156.798171006366,408,651,1017.275,1.02,663,totalN[10],FOTH,0.0104,0.926853629441102
660.134933333333,59.3187647423284,557,656,792,1.01,240,totalN[11],FOTH,0.0104,0.926853629441102
568.7168,56.9679970844258,470,565,696,1.02,269,totalN[12],FOTH,0.0104,0.926853629441102
588.102933333333,48.9384027392149,502,585,694,1.05,235,totalN[13],FOTH,0.0104,0.926853629441102
754.169333333333,89.4181772478887,610,745,965.55,1.05,171,totalN[14],FOTH,0.0104,0.926853629441102
0.200135379719524,0.039920972980812,0.137578523301949,0.193777259713793,0.287704948675099,1.06,71,anndet[1],FOTH,0.0104,0.926853629441102
0.157455046167721,0.024171655494492,0.116677121387776,0.154784232488651,0.212687291848539,1.53,147,anndet[2],FOTH,0.0104,0.926853629441102
