"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"trend",-0.17423656571883,0.0789329140706633,-0.337581483586012,-0.223361274254036,-0.171982521138719,-0.123314363303101,-0.0237907769262705,1.16198695962389,20,0,0.985833333333333
"totalN[1]",107.603566666667,70.3621136325986,39,65,91,128,283,1.07133390761739,169,0,1
"totalN[2]",62.8395,27.7641357628474,36,45,54,71,140,1.03492753207346,172,0,1
"totalN[3]",55.3678333333333,30.9130509525701,25,35,46,66,139,1.11097181308294,30,0,1
"totalN[4]",104.576966666667,45.2011524293159,58,77,93,119,218,1.09496816965305,66,0,1
"totalN[5]",87.0304,62.9919916249171,38,56,72,96,238,1.09270020486202,149,0,1
"totalN[6]",92.7079666666667,44.8580422889529,49,66.75,81,105,200,1.09063472057473,84,0,1
"totalN[7]",75.8362,50.8734400886836,32,49,64,86,189,1.37364788658316,17,0,1
"totalN[8]",26.7469666666667,20.466150173127,4,12,22,36,78,1.06812676930026,94,0,1
"totalN[9]",27.5984,12.4777872215308,12,19,25,33,59,1.02727720709063,128,0,1
"totalN[10]",34.4409,83.0515022476466,3,13,23,38,122,1.1245737977389,174,0,1
"totalN[11]",24.431,29.2291803482888,6,10,16,27,107,1.44899946017102,14,0,1
"totalN[12]",21.8392333333333,21.4489904048,7,11,16,25,66,1.26458845082431,32,0,1
"totalN[13]",18.2156666666667,12.8928234062754,6,10,14,23,52,1.1673317197255,21,0,1
"totalN[14]",11.3654,15.0479887107483,0,3,7,14,48,1.28115619900816,23,1,1
"fit",229.132384858078,49.3280600472994,117.737581282112,198.584485501561,235.157978647661,264.628936657372,310.427481428175,1.09174544518878,35,0,1
"fit.new",225.532208742731,48.97600634432,115.925003672273,195.39248705006,229.78818401955,259.712311465585,311.042302645641,1.08401667902765,38,0,1
"anndet[1]",0.112086525462263,0.0582085224567778,0.0297583295787489,0.0694878936216943,0.101137672575964,0.142435895497684,0.256389592347932,1.06205368715235,60,0,1
"anndet[2]",0.276661621157534,0.0910793963096493,0.104065769958966,0.208896234274571,0.279476847365217,0.343314507991278,0.44691474530528,1.01167637286961,249,0,1
"anndet[3]",0.216529795757714,0.0958252542487291,0.0619903923525605,0.140251767865132,0.209558438808411,0.279185803117903,0.423539314917928,1.28522094514836,14,0,1
"anndet[4]",0.203128014677335,0.0665500211764286,0.0834353071780561,0.154617799501772,0.199963020949998,0.249617366331344,0.336797741475207,1.04392620726731,63,0,1
"anndet[5]",0.151954773649,0.0636472039399361,0.0419894203447754,0.105569650381135,0.144982489182406,0.19199786672012,0.294279455282925,1.04978290093993,55,0,1
"anndet[6]",0.180232980748334,0.0617340391771763,0.0700638166102107,0.136929533420874,0.176834208223812,0.22022390404157,0.310183439817351,1.04452668435885,65,0,1
"anndet[7]",0.123950146955671,0.0559012290600457,0.0357931591254214,0.08297631539711,0.116552326657468,0.155941828096346,0.254103195855393,1.29360752960717,13,0,1
"anndet[8]",0.0895954525962663,0.0867893800393412,0.0112465041042418,0.0324633282990794,0.0598080893980912,0.112355179186727,0.343166465664881,1.05773707735584,111,0,1
"anndet[9]",0.177505717305608,0.0832113612846978,0.0611619363948856,0.116716257946847,0.161335353967555,0.220558509071451,0.381998288700003,1.06212624086676,60,0,1
"anndet[10]",0.534339766774346,0.262990097265459,0.044708393439185,0.327041490139353,0.547633963919213,0.749324406114788,0.967047262973288,1.00050967217769,11356,0,1
"anndet[11]",0.152094265533284,0.110662748144921,0.0127907526635776,0.0633142660678657,0.117328213740215,0.234610822453004,0.397337269700244,1.35688676222832,11,0,1
"anndet[12]",0.157712613903254,0.0927281189003137,0.0270006761925089,0.0861654946021274,0.138517126141462,0.215433767554681,0.375018819350354,1.10015367825722,31,0,1
"anndet[13]",0.148619718984602,0.0951812919932876,0.0332806187836614,0.0764449211522486,0.120627314462835,0.203814466250652,0.373570300118508,1.20728912595811,17,0,1
"anndet[14]",0.139367730119706,0.177911069076082,0.00106381458458003,0.0208933063430335,0.0684966002194146,0.176290121605945,0.664328930210581,1.38207205585704,12,0,1
"deviance",1052.69877292069,201.569735261335,554.09504462731,939.174385870736,1092.93641522573,1207.65382593829,1327.77963816139,1.08238089991114,45,0,1
