mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
-0.941867921823672,0.193849848049855,-1.32826924955721,-0.945732593965479,-0.544913593734044,1.06,76,trend,GTCA,0.568,1.01317847211252
-0.433427529420145,0.171327845570302,-0.73987824108848,-0.448552274092712,-0.040262864347809,1.07,69,trend2,GTCA,0.568,1.01317847211252
126.559466666667,48.9737635023623,60,116,255.275,1.07,135,totalN[1],GTCA,0.568,1.01317847211252
142.0456,49.4188396575317,66,135,262,1.08,111,totalN[2],GTCA,0.568,1.01317847211252
138.1384,48.9710426910223,66,130,268,1.08,89,totalN[3],GTCA,0.568,1.01317847211252
206.092533333333,65.5743179038906,114,195,366.275,1.07,98,totalN[4],GTCA,0.568,1.01317847211252
120.687733333333,43.0596964633762,65,112,238.275,1.07,64,totalN[5],GTCA,0.568,1.01317847211252
133.143733333333,40.4775953286323,77,124,231.275,1.08,108,totalN[6],GTCA,0.568,1.01317847211252
100.013866666667,36.9131371686882,50,93,195.275,1.04,119,totalN[7],GTCA,0.568,1.01317847211252
48.1632,30.3629775966655,10.725,41,123,1.02,85,totalN[8],GTCA,0.568,1.01317847211252
67.1205333333333,25.1565359047813,31,62.5,127,1.11,132,totalN[9],GTCA,0.568,1.01317847211252
46.332,29.1110110254427,11,41,113,1.04,264,totalN[10],GTCA,0.568,1.01317847211252
24.7274666666667,11.6551941437726,9,22,54,1.03,180,totalN[11],GTCA,0.568,1.01317847211252
22.6125333333333,8.6500379049511,10,21,44,1.02,284,totalN[12],GTCA,0.568,1.01317847211252
16.9168,6.40285432482535,8,16,33,1.02,277,totalN[13],GTCA,0.568,1.01317847211252
5.57733333333333,4.33613884874393,0,5,17,1.04,264,totalN[14],GTCA,0.568,1.01317847211252
0.0814193106052629,0.0287884283784475,0.0350934952210309,0.0786077156158695,0.148937113788502,1.06,127,anndet[1],GTCA,0.568,1.01317847211252
0.112081119016743,0.0406802201191908,0.0531443304760607,0.1052285266225,0.218599366146913,1.04,130,anndet[2],GTCA,0.568,1.01317847211252
0.0746378888204825,0.0251557691207404,0.0349629785860804,0.0712122938149505,0.135400378064995,1.09,125,anndet[3],GTCA,0.568,1.01317847211252
0.0930233076797651,0.0279011944149198,0.0474654106987129,0.089070168222303,0.157246913787363,1.06,112,anndet[4],GTCA,0.568,1.01317847211252
0.10416228586259,0.032044786527923,0.0473901855488892,0.102388000710841,0.171227191432327,1.08,90,anndet[5],GTCA,0.568,1.01317847211252
0.113720237162699,0.0307074611267394,0.0583086375096173,0.113553348042136,0.177163786382632,1.08,139,anndet[6],GTCA,0.568,1.01317847211252
0.0834631240550726,0.0281475702940827,0.0358109199886109,0.0812748556161218,0.144591056976179,1.05,114,anndet[7],GTCA,0.568,1.01317847211252
0.060413912879483,0.0312084317119166,0.0130636908878579,0.0568868188534379,0.124074039442957,1.04,72,anndet[8],GTCA,0.568,1.01317847211252
0.0597451161385717,0.0213357386968286,0.0273732570259886,0.0568621902007544,0.108155858652639,1.03,209,anndet[9],GTCA,0.568,1.01317847211252
0.0877680185170194,0.0435004921052161,0.0268988152806879,0.0808732304413763,0.196410528320645,1.02,272,anndet[10],GTCA,0.568,1.01317847211252
0.098279450419454,0.0374772087769787,0.0350455515130542,0.0960301086647264,0.175932059912681,1.03,147,anndet[11],GTCA,0.568,1.01317847211252
0.100834306089101,0.0360289303912312,0.0452771413242623,0.0965576262561286,0.185278427306565,1.02,349,anndet[12],GTCA,0.568,1.01317847211252
0.115876931183486,0.0425387435658734,0.0513001493178405,0.109621463898666,0.220523526824877,1.01,243,anndet[13],GTCA,0.568,1.01317847211252
0.0692301733489356,0.0286326950462144,0.0221495957657005,0.0669604610118295,0.132484496846168,1.02,147,anndet[14],GTCA,0.568,1.01317847211252
1.92426666666667,1.1544493043906,1,2,5,1.01,885,"N[1, 1]",GTCA,0.568,1.01317847211252
1.21413333333333,1.36185222642497,0,1,5,1.02,411,"N[2, 1]",GTCA,0.568,1.01317847211252
1.46453333333333,1.4679634736685,0,1,5,1.02,540,"N[3, 1]",GTCA,0.568,1.01317847211252
0.8616,1.09913644902819,0,1,4,1.03,899,"N[4, 1]",GTCA,0.568,1.01317847211252
0.737333333333333,1.01788138350782,0,0,3,1,1031,"N[5, 1]",GTCA,0.568,1.01317847211252
0.846133333333333,1.03270330162379,0,1,3,1.02,1052,"N[6, 1]",GTCA,0.568,1.01317847211252
1.02746666666667,1.18113685547495,0,1,4,1.01,633,"N[7, 1]",GTCA,0.568,1.01317847211252
1.02933333333333,1.21152698481085,0,1,4,1.01,581,"N[8, 1]",GTCA,0.568,1.01317847211252
0.9032,1.09727731134817,0,1,4,1.01,997,"N[9, 1]",GTCA,0.568,1.01317847211252
2.26346666666667,1.41078562032175,1,2,6,1.03,585,"N[10, 1]",GTCA,0.568,1.01317847211252
2.0648,1.91937056233586,0,2,7,1.04,295,"N[11, 1]",GTCA,0.568,1.01317847211252
1.11813333333333,1.25944465371783,0,1,4,1.01,999,"N[12, 1]",GTCA,0.568,1.01317847211252
1.5168,1.52968681254209,0,1,5,1.02,492,"N[13, 1]",GTCA,0.568,1.01317847211252
2.4008,1.49209686486762,1,2,6,1.02,543,"N[14, 1]",GTCA,0.568,1.01317847211252
2.71626666666667,1.69697672058859,1,2,7,1.02,488,"N[15, 1]",GTCA,0.568,1.01317847211252
1.17253333333333,1.3156597223536,0,1,5,1.02,590,"N[16, 1]",GTCA,0.568,1.01317847211252
1.74506666666667,1.70858249142095,0,1,6,1.02,508,"N[17, 1]",GTCA,0.568,1.01317847211252
2.12026666666667,1.28586294519514,1,2,5,1.01,1034,"N[18, 1]",GTCA,0.568,1.01317847211252
1.9952,1.82743923814494,0,2,7,1.02,408,"N[19, 1]",GTCA,0.568,1.01317847211252
0.8176,1.03644425696034,0,1,4,1.01,1410,"N[20, 1]",GTCA,0.568,1.01317847211252
0.9312,1.12611636320746,0,1,4,1.02,928,"N[21, 1]",GTCA,0.568,1.01317847211252
0.678133333333333,0.949021612026959,0,0,3,1.01,1033,"N[22, 1]",GTCA,0.568,1.01317847211252
1.50666666666667,1.530113248958,0,1,5,1.02,569,"N[23, 1]",GTCA,0.568,1.01317847211252
0.983466666666667,1.14429417458872,0,1,4,1.01,1053,"N[24, 1]",GTCA,0.568,1.01317847211252
1.88773333333333,1.13760331394656,1,2,5,1.01,714,"N[25, 1]",GTCA,0.568,1.01317847211252
2.2944,1.40047075117142,1,2,6,1.02,597,"N[26, 1]",GTCA,0.568,1.01317847211252
0.805066666666667,1.04199673582736,0,0,3,1.02,1060,"N[27, 1]",GTCA,0.568,1.01317847211252
1.11173333333333,1.26277771502783,0,1,4,1.03,918,"N[28, 1]",GTCA,0.568,1.01317847211252
3.0728,1.2927280452128,2,3,6,1,505,"N[29, 1]",GTCA,0.568,1.01317847211252
1.428,1.43053429910002,0,1,5,1.01,931,"N[30, 1]",GTCA,0.568,1.01317847211252
0.971733333333333,1.17443694713409,0,1,4,1.01,1191,"N[31, 1]",GTCA,0.568,1.01317847211252
1.05733333333333,1.23937719726971,0,1,4,1.01,982,"N[32, 1]",GTCA,0.568,1.01317847211252
0.888533333333333,1.12126882618028,0,1,4,1.02,754,"N[33, 1]",GTCA,0.568,1.01317847211252
0.8032,1.02603630221592,0,1,3,1.02,1235,"N[34, 1]",GTCA,0.568,1.01317847211252
1.10826666666667,1.28724001597133,0,1,4,1.02,806,"N[35, 1]",GTCA,0.568,1.01317847211252
0.886666666666667,1.10731621289539,0,1,4,1.02,574,"N[36, 1]",GTCA,0.568,1.01317847211252
0.995733333333333,1.1267891121278,0,1,4,1.01,1070,"N[37, 1]",GTCA,0.568,1.01317847211252
2.42666666666667,1.45377181022879,1,2,6,1.01,594,"N[38, 1]",GTCA,0.568,1.01317847211252
1.0528,1.17835298794707,0,1,4,1.01,977,"N[39, 1]",GTCA,0.568,1.01317847211252
1.03253333333333,1.20681258748873,0,1,4,1.01,998,"N[40, 1]",GTCA,0.568,1.01317847211252
0.935733333333333,1.1469178585999,0,1,4,1,1145,"N[41, 1]",GTCA,0.568,1.01317847211252
2.62613333333333,1.67894075936044,1,2,7,1.04,538,"N[42, 1]",GTCA,0.568,1.01317847211252
1.13413333333333,1.26397558706572,0,1,4,1.02,947,"N[43, 1]",GTCA,0.568,1.01317847211252
1.11893333333333,1.22881685363802,0,1,4,1.01,660,"N[44, 1]",GTCA,0.568,1.01317847211252
0.704,0.943232694926235,0,0,3,1.01,717,"N[45, 1]",GTCA,0.568,1.01317847211252
1.26746666666667,1.35475127206362,0,1,5,1.01,1344,"N[46, 1]",GTCA,0.568,1.01317847211252
1.63813333333333,1.6413523668752,0,1,6,1.03,528,"N[47, 1]",GTCA,0.568,1.01317847211252
1.22666666666667,1.4005041706724,0,1,5,1.02,591,"N[48, 1]",GTCA,0.568,1.01317847211252
0.986666666666667,1.21488647288272,0,1,4,1.01,929,"N[49, 1]",GTCA,0.568,1.01317847211252
1.8632,1.69246849696832,0,2,6,1.01,608,"N[50, 1]",GTCA,0.568,1.01317847211252
1.28373333333333,1.40095875921012,0,1,5,1.01,715,"N[51, 1]",GTCA,0.568,1.01317847211252
0.627466666666667,0.912345447375233,0,0,3,1.01,1010,"N[52, 1]",GTCA,0.568,1.01317847211252
1.11733333333333,1.239129670446,0,1,4,1.01,1072,"N[53, 1]",GTCA,0.568,1.01317847211252
2.15493333333333,1.32752863779455,1,2,5,1.01,824,"N[54, 1]",GTCA,0.568,1.01317847211252
1.07786666666667,1.23922541537994,0,1,4,1.02,1052,"N[55, 1]",GTCA,0.568,1.01317847211252
3.97466666666667,2.19681098029645,1,4,10,1.04,340,"N[56, 1]",GTCA,0.568,1.01317847211252
1.184,1.35792822285111,0,1,5,1.03,576,"N[57, 1]",GTCA,0.568,1.01317847211252
2.91546666666667,1.89805553470887,1,2,8,1.03,491,"N[58, 1]",GTCA,0.568,1.01317847211252
1.86266666666667,1.75980076387921,0,1,6,1.02,538,"N[59, 1]",GTCA,0.568,1.01317847211252
1.2408,1.36405456829902,0,1,5,1.03,592,"N[60, 1]",GTCA,0.568,1.01317847211252
0.7672,1.00276566075634,0,0,3,1,1020,"N[61, 1]",GTCA,0.568,1.01317847211252
1.4712,1.57656801664976,0,1,5,1.02,503,"N[62, 1]",GTCA,0.568,1.01317847211252
2.00773333333333,1.87433820335135,0,2,7,1.02,474,"N[63, 1]",GTCA,0.568,1.01317847211252
0.938933333333333,1.10878253137216,0,1,4,1,670,"N[64, 1]",GTCA,0.568,1.01317847211252
2.26826666666667,1.54147114723834,1,2,6,1,540,"N[65, 1]",GTCA,0.568,1.01317847211252
1.2576,1.33855146782204,0,1,5,1.01,860,"N[66, 1]",GTCA,0.568,1.01317847211252
0.886133333333333,1.1009803014838,0,1,4,1.01,1328,"N[67, 1]",GTCA,0.568,1.01317847211252
1.47866666666667,1.6340104710846,0,1,6,1.01,611,"N[68, 1]",GTCA,0.568,1.01317847211252
3.22373333333333,1.7595744815676,1,3,8,1.03,696,"N[69, 1]",GTCA,0.568,1.01317847211252
2.35706666666667,1.43545098630987,1,2,6,1.02,397,"N[70, 1]",GTCA,0.568,1.01317847211252
0.6376,0.91350356887029,0,0,3,1.01,1080,"N[71, 1]",GTCA,0.568,1.01317847211252
2.6208,1.69954237325059,1,2,7,1.01,527,"N[72, 1]",GTCA,0.568,1.01317847211252
1.11386666666667,1.25877860980893,0,1,4,1.01,741,"N[73, 1]",GTCA,0.568,1.01317847211252
2.08666666666667,1.27629278319167,1,2,5,1.01,913,"N[74, 1]",GTCA,0.568,1.01317847211252
0.888533333333333,1.07809328210605,0,1,4,1.01,811,"N[75, 1]",GTCA,0.568,1.01317847211252
0.702933333333333,0.954984080555266,0,0,3,1.01,988,"N[76, 1]",GTCA,0.568,1.01317847211252
0.613333333333333,0.891759095663252,0,0,3,1.02,771,"N[77, 1]",GTCA,0.568,1.01317847211252
1.12693333333333,1.28594799226844,0,1,4,1.03,410,"N[78, 1]",GTCA,0.568,1.01317847211252
0.907466666666667,1.09033080663332,0,1,4,1.02,1045,"N[79, 1]",GTCA,0.568,1.01317847211252
2.1632,1.28952543993106,1,2,5,1,667,"N[80, 1]",GTCA,0.568,1.01317847211252
1.78986666666667,1.02208409167723,1,1,4,1.01,912,"N[81, 1]",GTCA,0.568,1.01317847211252
0.814933333333333,1.05409358808103,0,1,3.27500000000009,1.01,869,"N[82, 1]",GTCA,0.568,1.01317847211252
1.28,1.41553323138471,0,1,5,1.02,863,"N[83, 1]",GTCA,0.568,1.01317847211252
0.910666666666667,1.13470829099982,0,1,4,1,1127,"N[84, 1]",GTCA,0.568,1.01317847211252
1.1248,1.25699892827381,0,1,4,1.01,1092,"N[85, 1]",GTCA,0.568,1.01317847211252
1.0224,1.19861643365507,0,1,4,1.01,815,"N[86, 1]",GTCA,0.568,1.01317847211252
1.7624,1.68444932798337,0,1,6,1.02,745,"N[87, 1]",GTCA,0.568,1.01317847211252
1.53493333333333,1.46415550036304,0,1,5,1.02,906,"N[88, 1]",GTCA,0.568,1.01317847211252
0.778133333333333,1.01750574134557,0,0,3,1.01,851,"N[1, 2]",GTCA,0.568,1.01317847211252
2.60186666666667,1.46211944123078,1,2,6,1.02,540,"N[2, 2]",GTCA,0.568,1.01317847211252
4.79973333333333,1.86490947917578,2,4,9,1.01,537,"N[3, 2]",GTCA,0.568,1.01317847211252
2.37413333333333,1.32139693992948,1,2,6,1.01,398,"N[4, 2]",GTCA,0.568,1.01317847211252
0.6304,0.929888752212362,0,0,3,1.01,918,"N[5, 2]",GTCA,0.568,1.01317847211252
0.900266666666667,1.13654346910745,0,1,4,1.02,859,"N[6, 2]",GTCA,0.568,1.01317847211252
2.24373333333333,1.34134528893123,1,2,6,1.01,952,"N[7, 2]",GTCA,0.568,1.01317847211252
1.02853333333333,1.17998184059219,0,1,4,1.01,1028,"N[8, 2]",GTCA,0.568,1.01317847211252
0.884533333333333,1.08912063820288,0,1,4,1,1094,"N[9, 2]",GTCA,0.568,1.01317847211252
3.672,1.88539047748754,1,3,8,1.02,381,"N[10, 2]",GTCA,0.568,1.01317847211252
3.18586666666667,1.92021791611811,1,3,8,1.02,459,"N[11, 2]",GTCA,0.568,1.01317847211252
2.1864,1.30316585194033,1,2,6,1.03,610,"N[12, 2]",GTCA,0.568,1.01317847211252
1.38986666666667,1.44924028196185,0,1,5,1.02,641,"N[13, 2]",GTCA,0.568,1.01317847211252
1.6184,1.61934576754234,0,1,6,1.02,719,"N[14, 2]",GTCA,0.568,1.01317847211252
2.8304,1.64510107146727,1,2,7,1.02,583,"N[15, 2]",GTCA,0.568,1.01317847211252
1.20026666666667,1.3208425955675,0,1,4,1,636,"N[16, 2]",GTCA,0.568,1.01317847211252
3.11413333333333,1.74357418228668,1,3,7,1.02,435,"N[17, 2]",GTCA,0.568,1.01317847211252
1.21333333333333,1.35500744189848,0,1,5,1.02,985,"N[18, 2]",GTCA,0.568,1.01317847211252
4.01946666666667,2.03762808916401,1,4,9,1.03,427,"N[19, 2]",GTCA,0.568,1.01317847211252
0.807466666666667,1.01508900614987,0,1,3,1.01,1041,"N[20, 2]",GTCA,0.568,1.01317847211252
0.8024,1.07377606542378,0,0,3,1.02,747,"N[21, 2]",GTCA,0.568,1.01317847211252
0.7512,0.995973435132148,0,0,3,1.01,1349,"N[22, 2]",GTCA,0.568,1.01317847211252
2.23493333333333,1.35487853617276,1,2,6,1.03,562,"N[23, 2]",GTCA,0.568,1.01317847211252
0.936,1.14495425471884,0,1,4,1.04,700,"N[24, 2]",GTCA,0.568,1.01317847211252
0.897866666666667,1.14812323616108,0,1,4,1.01,853,"N[25, 2]",GTCA,0.568,1.01317847211252
2.79946666666667,1.55191128285635,1,2,7,1.03,552,"N[26, 2]",GTCA,0.568,1.01317847211252
0.831466666666667,1.05988808164874,0,1,4,1.01,1034,"N[27, 2]",GTCA,0.568,1.01317847211252
2.08693333333333,1.25083698127689,1,2,5,1.02,579,"N[28, 2]",GTCA,0.568,1.01317847211252
1.2136,1.30042018775109,0,1,4.27500000000009,1.02,622,"N[29, 2]",GTCA,0.568,1.01317847211252
2.02426666666667,1.21086833145469,1,2,5,1.01,832,"N[30, 2]",GTCA,0.568,1.01317847211252
0.926133333333333,1.16205442257115,0,1,4,1.02,1072,"N[31, 2]",GTCA,0.568,1.01317847211252
0.9272,1.15775253440228,0,1,4,1,1150,"N[32, 2]",GTCA,0.568,1.01317847211252
0.9496,1.13780713129165,0,1,4,1.01,884,"N[33, 2]",GTCA,0.568,1.01317847211252
0.7664,0.996843029572273,0,0,3,1.02,651,"N[34, 2]",GTCA,0.568,1.01317847211252
1.07626666666667,1.21476070366697,0,1,4,1.01,870,"N[35, 2]",GTCA,0.568,1.01317847211252
0.818666666666667,1.05068831778975,0,1,3,1.01,908,"N[36, 2]",GTCA,0.568,1.01317847211252
0.5344,0.828774077212209,0,0,3,1.02,816,"N[37, 2]",GTCA,0.568,1.01317847211252
