"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"trend",0.105524197259127,0.0441474228313427,0.0222086633406847,0.0771011723036649,0.104277444178389,0.13342004936805,0.193975278536708,1.00953393612531,376,0,0.990366666666667
"totalN[1]",254.4023,71.5632230819243,155,203,240,291,430,1.0032574128961,781,0,1
"totalN[2]",246.143133333333,99.4477999170712,135,188,230,281,439,1.1003185002689,103,0,1
"totalN[3]",246.207533333333,68.1140052693963,146,196,237,286,404,1.02631787770945,103,0,1
"totalN[4]",198.7635,65.2603605943569,125,154,180,228,351,1.03933947187274,84,0,1
"totalN[5]",420.651133333333,124.096043260777,278,345,394,460,741.024999999998,1.03184047342511,406,0,1
"totalN[6]",475.571,150.617630933516,293,380,440,528,907,1.04877604783917,102,0,1
"totalN[7]",470.174,123.390418174089,308,388,445,522,792,1.03498687912301,93,0,1
"totalN[8]",670.967766666667,204.423219056517,399,524,625,776,1169,1.01638669265398,318,0,1
"totalN[9]",424.968466666667,151.985193321417,217,323,404,497,760,1.02773387609891,171,0,1
"totalN[10]",636.601,386.262891693878,216,434,560,735,1511.05,1.0107506390337,465,0,1
"totalN[11]",649.162866666667,243.748367344963,333,479,595,761,1290.025,1.10560178637208,38,0,1
"totalN[12]",695.964866666667,266.368602329039,364.975,517,637,801,1398,1.04688041924608,86,0,1
"totalN[13]",804.704866666667,296.169946119141,434,602,732,926,1561,1.03370929296073,135,0,1
"fit",1146.03765772619,47.9340720485342,1047.5184362812,1114.3094990258,1147.89586088372,1179.70593253169,1234.14199150653,1.03165451720039,86,0,1
"fit.new",1112.75354550527,49.8316517550372,1011.12210076113,1079.88936704715,1113.7745817368,1146.14041141235,1208.51819097775,1.02247901264966,118,0,1
"anndet[1]",0.185791736538676,0.0495494379560421,0.100523476037569,0.149740330025998,0.182618194351693,0.218610879516329,0.289914036545271,1.00703664772679,443,0,1
"anndet[2]",0.170922026702822,0.0527622319917108,0.0840052789178614,0.133814629096018,0.164118881577387,0.20298071028659,0.287997557410965,1.04064656403085,72,0,1
"anndet[3]",0.194437437977922,0.0534187807652821,0.109342820255874,0.154904423090309,0.186835083408492,0.228898737617509,0.310959128323683,1.03046875076628,92,0,1
"anndet[4]",0.282537707289426,0.0742536695552791,0.145220640636851,0.22621137683148,0.286364570199879,0.338221623742278,0.417580743623651,1.0429861179634,64,0,1
"anndet[5]",0.206048402141038,0.0476049656609565,0.107312705410559,0.174831233670368,0.206399655536303,0.237427839641522,0.300208111268225,1.00745302274919,590,0,1
"anndet[6]",0.191437256382481,0.0489473397260869,0.0926327695455876,0.159090355274895,0.191514009570678,0.222249618149363,0.291691992282541,1.0287560594557,102,0,1
"anndet[7]",0.215359444223754,0.0490846072071867,0.121041328673037,0.182333558952153,0.214333308193529,0.247244856441445,0.314415662019641,1.03340157647185,83,0,1
"anndet[8]",0.163086683408993,0.0449293049405713,0.0858183640883476,0.12934821488582,0.161400719905632,0.192673938155412,0.257776272620503,1.02403500574426,164,0,1
"anndet[9]",0.151618898542045,0.0503289131498378,0.0750272962428508,0.116190934139245,0.142868014164467,0.1799013839041,0.271393543041611,1.01378946470645,210,0,1
"anndet[10]",0.445331821964825,0.284340081667954,0.0194131019361906,0.197726850822368,0.418222206462553,0.679540026308729,0.965780297448238,1.00040713285878,5363,0,1
"anndet[11]",0.136073326882089,0.0459108698685426,0.0594164944033517,0.102497081581784,0.131926912694197,0.164034517467131,0.236544588566457,1.05749447814236,52,0,1
"anndet[12]",0.124804205771984,0.0407453821692096,0.0546925228407842,0.0963286521724989,0.121445283106618,0.149630695811449,0.213372071048662,1.04216315122097,72,0,1
"anndet[13]",0.120754106391662,0.0382802225774861,0.0556200963011538,0.0937253865802731,0.118587913586777,0.145297062150982,0.202104253787411,1.01987279206789,146,0,1
"deviance",5861.48384163723,106.652070920275,5629.49735891576,5791.65269874611,5871.15330416713,5941.42057871929,6037.8709855803,1.081220604194,38,0,1
