"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"trend",-0.0149680324969535,0.0286991199188673,-0.0705770828746357,-0.0330313246988158,-0.0153688425131474,0.00289631829625908,0.0425447570473423,1.04686660579948,59,1,0.716233333333333
"totalN[1]",1606.84313333333,298.288947950469,1098,1409,1573.5,1767,2251,1.16433716176497,26,0,1
"totalN[2]",1471.29546666667,279.657876074268,951,1331,1477,1641,2031,2.05078561764631,6,0,1
"totalN[3]",1058.3571,189.948067784869,737,903,1038,1203,1442,1.48141052680912,9,0,1
"totalN[4]",1479.22616666667,209.214121177935,1147,1336,1429,1626,1947,1.0275227596594,239,0,1
"totalN[5]",2222.83926666667,398.103550406202,1650,1903,2182,2408,3126,1.16258991467439,23,0,1
"totalN[6]",2041.5139,502.534518321737,1206,1634,2013,2315,3360.025,1.75412560424677,7,0,1
"totalN[7]",1406.8836,210.05183973697,963,1278,1404,1578,1760,1.29751801272185,14,0,1
"totalN[8]",2118.52733333333,340.314535078431,1661,1883,2048,2250,2959.025,1.3223842298367,14,0,1
"totalN[9]",885.533566666667,160.011726023525,625,761,879,981,1252,1.48286547961813,10,0,1
"totalN[10]",1502.7126,821.551464422566,610,1070,1360,1752,3208.025,1.04851306558998,1473,0,1
"totalN[11]",1227.40403333333,124.814781501985,1035,1128,1219,1302,1507,1.27280117085408,14,0,1
"totalN[12]",1752.34923333333,320.920856301486,1311,1542,1683.5,1901,2706,1.21319559419608,24,0,1
"totalN[13]",1091.88136666667,152.321340436889,813,991,1067,1215,1383,1.44527681470903,10,0,1
"totalN[14]",1293.72566666667,263.149708468122,891,1082,1258,1457,1877,1.24299078185612,16,0,1
"fit",2014.57972941458,45.9882435675642,1912.10094472567,1986.76646593587,2017.96634739554,2045.6364754457,2096.76831299453,1.01036141648148,251,0,1
"fit.new",2187.59445010379,60.5485158585074,2064.9134456831,2148.1500009616,2188.45169639932,2228.42754887531,2303.52130905791,1.00235861454058,1106,0,1
"anndet[1]",0.267539570291227,0.0499235168660107,0.18616243021101,0.23519610711748,0.263979749290272,0.294219351008167,0.376642265172746,1.19799591449693,21,0,1
"anndet[2]",0.280090617448127,0.0593171361709018,0.194860208140473,0.241918177424794,0.268266948541907,0.296286652546994,0.412711321825653,2.28302166315652,6,0,1
"anndet[3]",0.3539550398169,0.0642068973829392,0.251507361987207,0.300871590835252,0.347578207742532,0.400420155882881,0.496902392318655,1.4129240073149,10,0,1
"anndet[4]",0.226113429738387,0.0306914384973158,0.168487598201309,0.201855675991673,0.231611750933039,0.244349354614028,0.285236454241269,1.02514304496012,363,0,1
"anndet[5]",0.224290877726327,0.0376247621106307,0.156186312719277,0.201799391773626,0.22091442505304,0.254956532351808,0.294640327627141,1.1430096459448,23,0,1
"anndet[6]",0.261641673114961,0.0640554609127087,0.148428539493294,0.217876045330546,0.249920701701721,0.307993487004932,0.420243484146806,2.27188309987511,6,0,1
"anndet[7]",0.352847976733235,0.0592500258671143,0.276005256652581,0.305444007399684,0.345618994328824,0.378010878673602,0.503788333015776,1.40309666492642,12,0,1
"anndet[8]",0.243383030884347,0.0351231409304228,0.170483519132777,0.225036430123495,0.246610834894424,0.267447978234608,0.301648166573601,1.30206077560626,14,0,1
"anndet[9]",0.364044571717735,0.0651553403589007,0.248631478313389,0.318041512708067,0.354840240982736,0.410959426009638,0.499017804211465,1.62011339432045,8,0,1
"anndet[10]",0.497328308040984,0.28912201017183,0.0239929862983958,0.245702114090997,0.496378318501595,0.747250907277316,0.973628788429134,1.00050182664134,4411,0,1
"anndet[11]",0.441376707344322,0.0433480625106364,0.355842522093282,0.41316231931747,0.441227535947329,0.476023446374338,0.516891810173667,1.33425500023289,12,0,1
"anndet[12]",0.275592179373553,0.0445088482451478,0.173219462536659,0.246871690611601,0.280447473496766,0.304324540627564,0.358409782575953,1.15935452757128,24,0,1
"anndet[13]",0.437759032563149,0.0625427570302267,0.339345608131642,0.383349806045105,0.440285402360796,0.471229731488342,0.579464482361894,1.52092917280005,9,0,1
"anndet[14]",0.336589044352945,0.0660539973573643,0.221688513045294,0.286604909953312,0.329133225601063,0.392516269931476,0.470294679942435,1.23761638861424,15,0,1
"deviance",12149.2299870545,43.6252031691913,12063.2520373287,12120.1253200791,12149.4487118225,12178.3186871848,12235.8976873768,1.03036404024181,98,0,1
