mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.531402189261366,0.255557274956482,0.0453974922764708,0.558276437325226,1.00902052172593,5.17,1627,trend,PETH,0,0.701961817550164
1460.48077333333,151.970202037639,1182,1509,1690,4.04,1336,totalN[1],PETH,0,0.701961817550164
1129.04841066667,273.706337705073,835,973,1629,13.04,13930,totalN[2],PETH,0,0.701961817550164
882.868181333333,150.029663713455,668,900,1170,8.69,4069,totalN[3],PETH,0,0.701961817550164
1315.77993066667,219.658909018085,1077,1212,1752,5.24,10480,totalN[4],PETH,0,0.701961817550164
1642.49696,116.009739120513,1467,1625,1881,2.79,3727,totalN[5],PETH,0,0.701961817550164
1067.30568533333,55.8668555499584,989,1052,1195,3.52,799,totalN[6],PETH,0,0.701961817550164
1047.52272,115.04459660432,926,994,1296,3.98,14131,totalN[7],PETH,0,0.701961817550164
1413.24787733333,74.8355155884182,1230,1417,1557,2.22,425,totalN[8],PETH,0,0.701961817550164
7889.60283733333,5794.33787288038,611,8281,16151,19.23,6472,totalN[9],PETH,0,0.701961817550164
102603912.152363,22124759142.7546,14,3187,1299648.5,1.22,187500,totalN[10],PETH,0,0.701961817550164
9313.94156266667,7028.57502496756,2254,5961,21254.525,23.67,2812,totalN[11],PETH,0,0.701961817550164
3919.40565866667,1988.78650824597,1568,3542,7391,12.65,1422,totalN[12],PETH,0,0.701961817550164
9621.90906666667,4420.9827989933,4264,8370,16808,12.51,2781,totalN[13],PETH,0,0.701961817550164
4588.59162666667,1828.17325947161,2212,4102,7109,15.67,1343,totalN[14],PETH,0,0.701961817550164
0.296320141976354,0.0311978397480247,0.255302866156929,0.2805447318626,0.358191485827887,5.35,13,anndet[1],PETH,0,0.701961817550164
0.374497875291457,0.078660093575042,0.248127632491552,0.420453004080079,0.483714421795208,14.84,25,anndet[2],PETH,0,0.701961817550164
0.42602453376766,0.0750984988672601,0.313354596689892,0.40485851500599,0.548259377884155,13.04,18,anndet[3],PETH,0,0.701961817550164
0.257373007105095,0.0387539654706519,0.189369109545706,0.271818887837732,0.297038847421148,5.53,23,anndet[4],PETH,0,0.701961817550164
0.307793371521788,0.0203431306374887,0.270189097289734,0.308977725812758,0.336511568359629,3.73,12,anndet[5],PETH,0,0.701961817550164
0.480966957351327,0.0230510140193843,0.432667204307714,0.490934722616511,0.512906923914123,4.54,16,anndet[6],PETH,0,0.701961817550164
0.472074005752843,0.0477326461280661,0.379213135631843,0.492769002189627,0.516853778187097,5.29,33,anndet[7],PETH,0,0.701961817550164
0.360631425078554,0.0185962505539413,0.329506355751521,0.357289291154192,0.416874724849369,2.68,16,anndet[8],PETH,0,0.701961817550164
0.18451614473598,0.21904570695381,0.0197451298991138,0.0382174054841044,0.499331333706984,150.1,18,anndet[9],PETH,0,0.701961817550164
0.500168969305949,0.282890789280955,0.0348561877959785,0.500626614396252,0.965804162711145,1,186643,anndet[10],PETH,0,0.701961817550164
0.10345153432749,0.0709343126540986,0.0257007195546184,0.0910222906909302,0.237394741876747,23.59,11,anndet[11],PETH,0,0.701961817550164
0.164212173055006,0.0923709952712174,0.0637215559289581,0.133181752969052,0.294318002833102,34.47,10,anndet[12],PETH,0,0.701961817550164
0.0608357865096202,0.0275807912968479,0.0284532876479822,0.0564395654463229,0.110111071018977,13.17,16,anndet[13],PETH,0,0.701961817550164
0.10974687226096,0.0451113752954684,0.0612638716371938,0.103372478935196,0.189836331262622,9.8,6,anndet[14],PETH,0,0.701961817550164
