mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
-0.0834359417386209,0.116871243660582,-0.416038326190778,-0.0650256576288339,0.125089305501721,1.2,47,trend,PETH,0,0.832966288548469
-0.00583306005963328,0.155506604821149,-0.396621400438715,0.00118251007172967,0.320600561439742,1.95,38,trend2,PETH,0,0.832966288548469
1215.02053333333,353.436159077318,944,1097,2557.025,2.16,107,totalN[1],PETH,0,0.832966288548469
959.911733333333,92.3736999860638,813,951,1201.275,1.22,170,totalN[2],PETH,0,0.832966288548469
889.7192,79.1199853213287,735,889,1059,1.12,154,totalN[3],PETH,0,0.832966288548469
939.273333333333,104.128586655657,794,922,1202,1.23,148,totalN[4],PETH,0,0.832966288548469
1058.17253333333,61.7173177171303,957.725,1051,1194.275,1.62,270,totalN[5],PETH,0,0.832966288548469
891.430933333333,32.9288927790899,830,891,959,1.04,537,totalN[6],PETH,0,0.832966288548469
858.9664,35.2204495389283,795,857,933,1.01,373,totalN[7],PETH,0,0.832966288548469
996.968266666667,49.390964601818,915,992,1107,1.45,329,totalN[8],PETH,0,0.832966288548469
788.903466666667,87.8521167255466,606.725,795,943,1.45,119,totalN[9],PETH,0,0.832966288548469
921.445066666667,3781.69867669949,28.725,830,1801.55,1.3,1400,totalN[10],PETH,0,0.832966288548469
911.101066666667,38.9741441801199,842,909,993,1.02,310,totalN[11],PETH,0,0.832966288548469
957.267733333333,55.0575081769114,859.725,952,1079,1.13,253,totalN[12],PETH,0,0.832966288548469
814.151733333334,36.4041606656789,748,813,894,1.03,351,totalN[13],PETH,0,0.832966288548469
759.3008,48.4060267350372,672,755.5,860,1.54,233,totalN[14],PETH,0,0.832966288548469
0.372020837418997,0.0653286537486379,0.169398890500382,0.391909577534224,0.451219534067398,2.81,109,anndet[1],PETH,0,0.832966288548469
0.422824125245267,0.0373052189495147,0.338928433030852,0.42380531267219,0.495265957936898,1.15,170,anndet[2],PETH,0,0.832966288548469
0.411991716850288,0.0365591833018317,0.343065172574424,0.4100396372924,0.492691875020734,1.17,153,anndet[3],PETH,0,0.832966288548469
0.355987855790575,0.0353656145808608,0.274141197801876,0.359355797049427,0.416275025412888,1.17,158,anndet[4],PETH,0,0.832966288548469
0.479440211419248,0.0271650504927653,0.423707023750938,0.481244145811845,0.528272075065884,1.61,266,anndet[5],PETH,0,0.832966288548469
0.576938941120375,0.0210293875365506,0.536872758107291,0.576775130756431,0.618408140889105,1.04,495,anndet[6],PETH,0,0.832966288548469
0.572802957829296,0.0229055882127938,0.527398465476052,0.57340649655264,0.616346495965294,1.01,376,anndet[7],PETH,0,0.832966288548469
