mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.0679137253629913,0.0356085364128284,0.0161349129416305,0.0596218866228047,0.152139260180072,1.26,291,trend,PTCA,0.00032,0.873837961763273
194.591594666667,42.6391210696056,134,186,305,1.02,90,totalN[1],PTCA,0.00032,0.873837961763273
251.257013333333,69.7730609641478,164,235,427,3.08,93,totalN[2],PTCA,0.00032,0.873837961763273
181.910650666667,43.7359709143108,114,181,281,1.26,44,totalN[3],PTCA,0.00032,0.873837961763273
288.810570666667,73.2621417537636,194,277,468,2.73,74,totalN[4],PTCA,0.00032,0.873837961763273
278.283248,52.7704115427476,210,269,408,1.74,54,totalN[5],PTCA,0.00032,0.873837961763273
236.672069333333,29.185326295737,193,231,306,1.29,93,totalN[6],PTCA,0.00032,0.873837961763273
321.926277333333,80.8727473283912,241,301,574,1.19,73,totalN[7],PTCA,0.00032,0.873837961763273
335.54848,74.1532791282348,231,325,546,1.51,44,totalN[8],PTCA,0.00032,0.873837961763273
472.82904,374.318466672016,209,360,1874,1.78,36,totalN[9],PTCA,0.00032,0.873837961763273
426.013717333333,324.877372869838,191,341,1156,1.19,2038,totalN[10],PTCA,0.00032,0.873837961763273
492.478709333333,354.456304491104,190,324,1476,1.87,34,totalN[11],PTCA,0.00032,0.873837961763273
607.727488,346.091577161164,269,473,1489,2.93,37,totalN[12],PTCA,0.00032,0.873837961763273
540.184778666667,264.554711239885,290,426,1270,1.68,29,totalN[13],PTCA,0.00032,0.873837961763273
390.478965333333,86.6053294286939,261,374,597,1.5,166,totalN[14],PTCA,0.00032,0.873837961763273
0.199222585294213,0.0380562972557,0.120918647691508,0.203539854466569,0.273907640911532,1.07,23,anndet[1],PTCA,0.00032,0.873837961763273
0.181865930751665,0.0461676723898054,0.0960059789952386,0.180682112664667,0.264401549575153,3.55,29,anndet[2],PTCA,0.00032,0.873837961763273
0.280454695517758,0.0727855944338262,0.168808361375987,0.260864623647315,0.426594015305519,1.34,12,anndet[3],PTCA,0.00032,0.873837961763273
0.212743226189744,0.0491684523497732,0.125298007050272,0.207412783520727,0.300851217159277,2.5,34,anndet[4],PTCA,0.00032,0.873837961763273
0.312638693197693,0.0508477869016237,0.206622258033742,0.31209818345998,0.406619074170834,2.03,32,anndet[5],PTCA,0.00032,0.873837961763273
0.327449129038822,0.0381820332998106,0.249979928791676,0.330124574003583,0.394510217961697,1.35,38,anndet[6],PTCA,0.00032,0.873837961763273
0.263373259800119,0.0464080142853095,0.142281708204492,0.266890927394173,0.329866322483559,1.13,32,anndet[7],PTCA,0.00032,0.873837961763273
0.237729314837245,0.0460671378302404,0.139567280319177,0.235446109882977,0.331318567032512,1.57,21,anndet[8],PTCA,0.00032,0.873837961763273
0.119092236978246,0.0487025422984306,0.0222799715377126,0.115386326252556,0.213850598287607,2.09,12,anndet[9],PTCA,0.00032,0.873837961763273
0.49801063699395,0.282303656953002,0.0352858374772676,0.497189668932575,0.96520034001063,1,187500,anndet[10],PTCA,0.00032,0.873837961763273
0.135553929964594,0.0632136583809543,0.0312146991651868,0.150098627757653,0.253994159404346,1.88,8,anndet[11],PTCA,0.00032,0.873837961763273
0.116884856215574,0.0531097397526172,0.0367020087275808,0.118014083090809,0.206261024625802,3.26,14,anndet[12],PTCA,0.00032,0.873837961763273
0.149431811407755,0.0506636761680142,0.0551286663078832,0.162408277975015,0.232393503335804,1.94,14,anndet[13],PTCA,0.00032,0.873837961763273
0.098962853633964,0.019903567781423,0.0648616088747976,0.100101093611013,0.139501610631547,1.62,32,anndet[14],PTCA,0.00032,0.873837961763273
