"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"trend",0.0548546268084723,0.0449446042739784,-0.0310083109141442,0.0265694357855227,0.0565604228898541,0.0821228400505819,0.14925031361044,1.59068324342966,9,1,0.878066666666667
"totalN[1]",563.705266666667,202.31011124418,322,422,515,651,1101,1.3747213611935,14,0,1
"totalN[2]",693.868933333333,211.373314566431,405,522,654.5,817,1151,1.16397924766289,26,0,1
"totalN[3]",829.289633333333,353.635030038524,480,632,729,931,2117.025,1.69093514320173,9,0,1
"totalN[4]",576.742233333333,197.866951175172,318,439,519,652,1046,1.39691447923295,13,0,1
"totalN[5]",765.005633333333,232.377505032423,494,599,696,887,1340.025,1.29685457081924,15,0,1
"totalN[6]",1017.1499,230.510595275954,683,867,985,1108,1643,1.21300838421038,20,0,1
"totalN[7]",890.972233333333,182.289123207686,610,770,857,981,1331,1.04326785905486,78,0,1
"totalN[8]",1359.66023333333,300.620281657338,929,1122,1343,1536,2126.025,1.0791162142594,63,0,1
"totalN[9]",857.322933333333,268.845077637515,448,639,836,991,1483.025,1.07471129487448,108,0,1
"totalN[10]",1090.48343333333,497.437840008546,421,807,1014,1272,2235,1.04933020397372,107,0,1
"totalN[11]",1051.65536666667,241.971404370882,723,915,1024,1127,1694,1.29197948577731,18,0,1
"totalN[12]",1245.7235,395.136776931102,781,985,1164,1374,2553.025,1.37967307335121,14,0,1
"totalN[13]",1289.55436666667,445.121680691119,817,1045,1209,1370,2844,1.47655294989916,12,0,1
"totalN[14]",1135.30346666667,615.678018790728,341,747,1066,1378,3044.025,1.50495018241742,10,0,1
"fit",1680.43273086167,42.5917138683872,1585.12585287098,1655.01235745581,1683.61281679799,1709.35105307774,1756.42687466079,1.01003907354677,265,0,1
"fit.new",1739.38396169367,56.977112021957,1623.45461957858,1702.13325792629,1740.5210904848,1777.57824221181,1849.45602324666,1.01855956260091,143,0,1
"anndet[1]",0.238021441144438,0.0723412247479011,0.110750890863114,0.183845251327607,0.234556758278236,0.286230467235835,0.368631887356047,1.30825586303526,14,0,1
"anndet[2]",0.189185063193954,0.0537746797621342,0.106163006571762,0.147152474199296,0.181964085596083,0.230864525372059,0.301055643001375,1.16059637547217,26,0,1
"anndet[3]",0.179141963927208,0.0508052612818775,0.061362411982015,0.141800673342533,0.181663900587873,0.207388470489877,0.278930491859609,1.66769254589918,8,0,1
"anndet[4]",0.237513166970062,0.0689438968594729,0.12008442254142,0.190856382698257,0.240956709956733,0.284641260176709,0.391077659107435,1.3021129835938,14,0,1
"anndet[5]",0.202451193363992,0.0514706847528239,0.107646779620506,0.161375860864997,0.207033744168712,0.240846390837903,0.283199032518242,1.30759088073328,13,0,1
"anndet[6]",0.183365319015501,0.0379061309992587,0.108625192486217,0.160438833453689,0.178867434550889,0.205586150262688,0.263335845430618,1.17885522481529,19,0,1
"anndet[7]",0.231437794818624,0.0448128247912343,0.149175967180668,0.202095831327862,0.22992832762219,0.257569909223566,0.325261209453266,1.05223326947367,63,0,1
"anndet[8]",0.169732491222644,0.0359585987387649,0.103391780412619,0.143356646811319,0.163851151588663,0.197935198612812,0.235989347794038,1.13280166960465,32,0,1
"anndet[9]",0.142530771358585,0.0454400221312755,0.0744347712185953,0.11201572043931,0.132019254846882,0.17537772602389,0.254034767921996,1.1326504413513,36,0,1
"anndet[10]",0.471425686176209,0.287528772520889,0.0215001073053808,0.220511644103978,0.456203254097559,0.718292339530372,0.9694113702032,1.00015035019899,11639,0,1
"anndet[11]",0.205132252830229,0.0389766469434653,0.122478249083282,0.18412404825545,0.202107996438388,0.22620460321473,0.286444945221322,1.23055232500597,16,0,1
"anndet[12]",0.166389797341393,0.0415019012344575,0.0736303827499404,0.141733610631274,0.164782589732846,0.196107759599551,0.247931885013298,1.2243647457751,17,0,1
"anndet[13]",0.182869703552814,0.0434379765061777,0.0765418284730555,0.159139636935053,0.180977415559993,0.210390362250121,0.269981917402485,1.38881472567596,11,0,1
"anndet[14]",0.108236789889611,0.0609158741660371,0.0316011456750144,0.066970776846967,0.0890273035018273,0.1264316975082,0.277901181262568,1.68279106440654,8,0,1
"deviance",9298.00191269769,65.7274353038069,9174.48156834548,9253.48560987929,9294.37105065477,9341.38508695686,9429.44362852306,1.18912935314982,18,0,1
