mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.236620953635867,0.335482032573424,-0.308000485049715,0.177062796052989,0.78649469755898,6.37,14,trend,SBTH,0,0.871688733228988
0.84244672962398,0.198569876390529,0.547516241560132,0.830696277116885,1.29220323643911,2.96,13,trend2,SBTH,0,0.871688733228988
602.217777777778,199.895466321964,375.225,548,1182.225,1.24,21,totalN[1],SBTH,0,0.871688733228988
567.913333333333,112.826409622218,365,571,800.55,1.21,37,totalN[2],SBTH,0,0.871688733228988
528.035555555556,92.3286643026847,372.9,525,730.2,1.47,42,totalN[3],SBTH,0,0.871688733228988
384.991111111111,114.668282735802,248,348.5,643.55,1.36,26,totalN[4],SBTH,0,0.871688733228988
457.444444444445,55.4864118101937,381.45,444.5,600,1.37,67,totalN[5],SBTH,0,0.871688733228988
522.322222222222,57.4769107855247,435,510.5,642.775,1.17,62,totalN[6],SBTH,0,0.871688733228988
473.931111111111,39.1363576040648,411.225,470,566.325,1.04,98,totalN[7],SBTH,0,0.871688733228988
802.075555555556,128.224846286308,631.225,781,1115.55,1.1,32,totalN[8],SBTH,0,0.871688733228988
617.042222222222,161.131274883579,416,577.5,1069.325,1.24,31,totalN[9],SBTH,0,0.871688733228988
749.922222222224,6680.17451032301,4,116,3685.1,1.29,450,totalN[10],SBTH,0,0.871688733228988
635.417777777778,60.6754750207432,524.225,634.5,756.775,1.07,81,totalN[11],SBTH,0,0.871688733228988
637.833333333333,68.4739233118664,526.45,632,794.775,1.14,58,totalN[12],SBTH,0,0.871688733228988
525.042222222222,53.5464371406983,437.45,519,656.55,1.19,64,totalN[13],SBTH,0,0.871688733228988
353.306666666667,53.3285333771739,267,345.5,470.55,1.08,34,totalN[14],SBTH,0,0.871688733228988
543.384444444444,88.5782088853366,397.675,533.5,738.55,1.07,47,totalN[15],SBTH,0,0.871688733228988
0.226962673223753,0.0570035070900171,0.10767080722099,0.232131124601235,0.339081884854083,1.25,26,anndet[1],SBTH,0,0.871688733228988
0.227331591503291,0.0469660506039209,0.151337812594888,0.219566340301544,0.348063538846181,1.35,40,anndet[2],SBTH,0,0.871688733228988
0.263932091961447,0.0461222478282386,0.186445981395797,0.257843044118852,0.35685616155729,1.47,43,anndet[3],SBTH,0,0.871688733228988
0.344729248566881,0.0904643118033789,0.18849688857408,0.352143254332951,0.49756940967457,1.54,28,anndet[4],SBTH,0,0.871688733228988
0.329292988423263,0.0360366836849189,0.255988399415327,0.332939693792473,0.392559193368641,1.3,70,anndet[5],SBTH,0,0.871688733228988
0.34462237635138,0.0360453839445075,0.273286482786728,0.347230375793479,0.40696214148893,1.14,64,anndet[6],SBTH,0,0.871688733228988
0.419673621919427,0.0337780027173368,0.352437885192096,0.419414956744065,0.488057118575452,1.06,103,anndet[7],SBTH,0,0.871688733228988
0.283110211634505,0.0405587537055386,0.197217069700826,0.285135579655461,0.344926350327727,1.12,29,anndet[8],SBTH,0,0.871688733228988
0.189305929941079,0.0403351366917038,0.103302555472629,0.19007027964169,0.263979728194765,1.21,36,anndet[9],SBTH,0,0.871688733228988
0.349473932465365,0.180163275504995,0.113746490888633,0.287856680905821,0.849185434289733,1.72,397,anndet[10],SBTH,0,0.871688733228988
0.330307302416417,0.0308354842080795,0.274292853803799,0.328082660791588,0.395653766021791,1.07,92,anndet[11],SBTH,0,0.871688733228988
0.306725942543323,0.0305147156491644,0.242157346388309,0.30781927909571,0.365316819284247,1.13,70,anndet[12],SBTH,0,0.871688733228988
0.416628802170164,0.0410407361359751,0.330981584777963,0.416622207022618,0.493199350604243,1.23,67,anndet[13],SBTH,0,0.871688733228988
0.362680610565331,0.0531254906842214,0.265994274135528,0.36376439606815,0.469917214668873,1.08,33,anndet[14],SBTH,0,0.871688733228988
0.312742696617086,0.0483714536874825,0.222132555098208,0.314419690831299,0.40619626298087,1.06,52,anndet[15],SBTH,0,0.871688733228988
5.43111111111111,2.53015860152562,3,5,12,1.06,74,"N[1, 1]",SBTH,0,0.871688733228988
9.97333333333334,3.41674117651023,5,9,18.775,1.03,87,"N[2, 1]",SBTH,0,0.871688733228988
4.96,2.89353784271367,1,4,12,1.03,94,"N[3, 1]",SBTH,0,0.871688733228988
5.81555555555555,2.69772283379854,2.225,5,13,1.04,163,"N[4, 1]",SBTH,0,0.871688733228988
4.88666666666667,2.83598417415898,1,4,12,1.06,127,"N[5, 1]",SBTH,0,0.871688733228988
8.12444444444445,3.01998949507425,4,8,15,1.06,70,"N[6, 1]",SBTH,0,0.871688733228988
6.61333333333333,3.05361153879208,3,6,15,1.05,87,"N[7, 1]",SBTH,0,0.871688733228988
6.57333333333334,3.11333077391322,2,6,15,1.08,66,"N[8, 1]",SBTH,0,0.871688733228988
7.06666666666667,3.21050613859003,3,6,15,1.04,60,"N[9, 1]",SBTH,0,0.871688733228988
6.44888888888889,2.77890736745431,3,6,13,1.05,42,"N[10, 1]",SBTH,0,0.871688733228988
5.21333333333333,3.30536447285938,0,5,13,1.03,104,"N[11, 1]",SBTH,0,0.871688733228988
7.14888888888889,2.86326259794244,3,7,14,1.08,60,"N[12, 1]",SBTH,0,0.871688733228988
7.40666666666667,3.40462805676329,3,7,16,1.15,56,"N[13, 1]",SBTH,0,0.871688733228988
5.57555555555556,2.80388336778009,2,5,13,1.05,55,"N[14, 1]",SBTH,0,0.871688733228988
7.99111111111111,3.28320435458288,4,7,16.775,1.08,76,"N[15, 1]",SBTH,0,0.871688733228988
7.88666666666667,3.17255070109246,4,7,16,1.1,99,"N[16, 1]",SBTH,0,0.871688733228988
6.82666666666667,3.07966966672153,2,6,14,1.06,86,"N[17, 1]",SBTH,0,0.871688733228988
7.20888888888889,2.85521616375137,3,7,14,1.09,96,"N[18, 1]",SBTH,0,0.871688733228988
7.29111111111111,3.30177263736831,3,6,15,1.02,50,"N[19, 1]",SBTH,0,0.871688733228988
7.87333333333333,3.15514921872605,4,7,16,1.11,85,"N[20, 1]",SBTH,0,0.871688733228988
6.47111111111111,3.04023664404095,2,6,14.775,1.06,111,"N[21, 1]",SBTH,0,0.871688733228988
5.79111111111111,2.73733749838313,2,5,13.775,1.08,118,"N[22, 1]",SBTH,0,0.871688733228988
7.79333333333334,3.51318864168596,3,7,18,1.03,124,"N[23, 1]",SBTH,0,0.871688733228988
5.51777777777778,2.85677321114329,2,5,13,1.13,71,"N[24, 1]",SBTH,0,0.871688733228988
3.81777777777778,2.60762022670501,0,3,10.775,1.06,80,"N[25, 1]",SBTH,0,0.871688733228988
8.46888888888889,3.40511355423695,4,8,17,1.05,70,"N[26, 1]",SBTH,0,0.871688733228988
9.32888888888889,3.36009745206953,5,9,18,1.03,110,"N[27, 1]",SBTH,0,0.871688733228988
6.61777777777778,3.32442462083873,2,6,15,1.03,195,"N[28, 1]",SBTH,0,0.871688733228988
10.0244444444444,3.43074372033747,5,9,19.775,1.04,103,"N[29, 1]",SBTH,0,0.871688733228988
7.25777777777778,3.72079504453348,2,6.5,16,1.02,143,"N[30, 1]",SBTH,0,0.871688733228988
5.45555555555556,3.16143630882683,1,5,12,1.04,248,"N[31, 1]",SBTH,0,0.871688733228988
6.76888888888889,3.48715889502027,2,6,15,1.02,78,"N[32, 1]",SBTH,0,0.871688733228988
4.96888888888889,2.70509065771717,1,4,12.775,1.06,103,"N[33, 1]",SBTH,0,0.871688733228988
6.55555555555556,3.08206649470011,3,6,14,1.09,214,"N[34, 1]",SBTH,0,0.871688733228988
6.04222222222222,3.12551030230892,2,5,14,1.09,67,"N[35, 1]",SBTH,0,0.871688733228988
7.40888888888889,3.27600592159374,3,7,16,1.05,76,"N[36, 1]",SBTH,0,0.871688733228988
6.46888888888889,3.4724703004672,1.225,6,15,1.05,117,"N[37, 1]",SBTH,0,0.871688733228988
6.64888888888889,3.22522230184415,3,6,15,1.05,128,"N[38, 1]",SBTH,0,0.871688733228988
8.56666666666667,2.93527050160537,4,8,16,1.11,59,"N[39, 1]",SBTH,0,0.871688733228988
6.54666666666666,3.07425548232435,2,6,14,1.03,175,"N[40, 1]",SBTH,0,0.871688733228988
5.86,2.98928301062222,1,5,12.775,1.04,85,"N[41, 1]",SBTH,0,0.871688733228988
4.72888888888889,2.59300259540695,1,4,11.775,1.11,88,"N[42, 1]",SBTH,0,0.871688733228988
6.62666666666667,3.01565329749466,2.225,6,15,1.06,128,"N[43, 1]",SBTH,0,0.871688733228988
6.10444444444444,3.13045643409564,2,5,14,1.07,44,"N[44, 1]",SBTH,0,0.871688733228988
7.74666666666667,3.13934724323158,4,7,16,1.09,82,"N[45, 1]",SBTH,0,0.871688733228988
7.59111111111112,3.37776182285661,3,7,16,1.01,144,"N[46, 1]",SBTH,0,0.871688733228988
6.06666666666667,2.97053083675558,2,5,14,1.05,72,"N[47, 1]",SBTH,0,0.871688733228988
4.74666666666667,2.72214379031395,1,4,11,1.02,114,"N[48, 1]",SBTH,0,0.871688733228988
5.81111111111111,2.73268773949996,2,5,12.775,1.05,137,"N[49, 1]",SBTH,0,0.871688733228988
7.77111111111111,3.48826363288127,3,7,16,1.05,170,"N[50, 1]",SBTH,0,0.871688733228988
7.61333333333333,3.22667059335782,3,7,16,1.08,78,"N[51, 1]",SBTH,0,0.871688733228988
8.86,2.79762068809848,5,8,16.775,1.09,79,"N[52, 1]",SBTH,0,0.871688733228988
8.60666666666667,3.17401055203189,4,8,16,1.05,173,"N[53, 1]",SBTH,0,0.871688733228988
7.97555555555555,2.95351178655151,4,7,15,1.03,69,"N[54, 1]",SBTH,0,0.871688733228988
5.01555555555556,2.88645215413479,1,4,12.775,1.15,77,"N[55, 1]",SBTH,0,0.871688733228988
6.45111111111111,3.08001115190633,2,6,14,1.02,74,"N[56, 1]",SBTH,0,0.871688733228988
8.94444444444444,2.91360800486924,5,8,17,1.05,98,"N[57, 1]",SBTH,0,0.871688733228988
6.68444444444445,3.18375298951458,3,6,15,1.08,74,"N[58, 1]",SBTH,0,0.871688733228988
6.21777777777778,3.21004054598299,2,6,14,1,126,"N[59, 1]",SBTH,0,0.871688733228988
8.71777777777778,3.22267777885413,4,8,17,1.1,107,"N[60, 1]",SBTH,0,0.871688733228988
8.02222222222222,2.99657479959568,4,8,16,1.05,49,"N[61, 1]",SBTH,0,0.871688733228988
7.70444444444444,3.06415845912189,4,7,15,1.04,35,"N[62, 1]",SBTH,0,0.871688733228988
4.10888888888889,2.89060549002893,0,3,11,1.02,84,"N[63, 1]",SBTH,0,0.871688733228988
7.06888888888889,3.3078379095315,3,6,16,1.07,71,"N[64, 1]",SBTH,0,0.871688733228988
5.72222222222222,2.76240985211134,2,5,13,1.05,173,"N[65, 1]",SBTH,0,0.871688733228988
6.71555555555555,3.13312324557499,2,6,15,1.04,136,"N[66, 1]",SBTH,0,0.871688733228988
7.13555555555556,3.26032063923568,3,6,15,1.05,99,"N[67, 1]",SBTH,0,0.871688733228988
7.51555555555556,3.10914704504084,3,7,16,1.13,106,"N[68, 1]",SBTH,0,0.871688733228988
7.02222222222222,2.90141574296692,3,6,14,1.05,53,"N[69, 1]",SBTH,0,0.871688733228988
7.73111111111111,3.20163670714736,3.225,7,16,1.1,99,"N[70, 1]",SBTH,0,0.871688733228988
6.33777777777778,2.88944696035398,3,6,13,1.03,60,"N[71, 1]",SBTH,0,0.871688733228988
6.05777777777778,2.89938853002791,2,5,13,1.01,81,"N[72, 1]",SBTH,0,0.871688733228988
4.78,3.01858386538101,1,4,12,1.07,121,"N[73, 1]",SBTH,0,0.871688733228988
7.95777777777778,3.26491703519724,4,7,17,1.06,61,"N[74, 1]",SBTH,0,0.871688733228988
9.20222222222223,3.06884545434723,5,9,17,1.12,61,"N[75, 1]",SBTH,0,0.871688733228988
5.52888888888889,2.89617074751518,2,5,14,1.03,78,"N[76, 1]",SBTH,0,0.871688733228988
7.18,2.51871392218852,4,6,14,1.09,82,"N[77, 1]",SBTH,0,0.871688733228988
5.49555555555555,2.27726788554162,3,5,12,1.06,114,"N[78, 1]",SBTH,0,0.871688733228988
6.4,2.87992823469111,3,6,14,1.05,62,"N[79, 1]",SBTH,0,0.871688733228988
7.01777777777778,2.70109182649986,3,6,14.775,1.02,111,"N[80, 1]",SBTH,0,0.871688733228988
7.39777777777778,2.75818190730842,4,7,14.775,1.07,80,"N[81, 1]",SBTH,0,0.871688733228988
8.94888888888889,3.07364124087451,5,8,18,1.09,76,"N[82, 1]",SBTH,0,0.871688733228988
6.35777777777778,3.31541509216539,2,6,14,1,230,"N[83, 1]",SBTH,0,0.871688733228988
5.20444444444444,2.7603585477346,1,5,12,1.07,137,"N[84, 1]",SBTH,0,0.871688733228988
7.02444444444445,3.80444327939999,2,6,16,1.05,224,"N[85, 1]",SBTH,0,0.871688733228988
6.26888888888889,3.52795531375716,1,6,15,1.02,133,"N[86, 1]",SBTH,0,0.871688733228988
7.40222222222222,3.64095663344566,2,7,17,1.03,124,"N[87, 1]",SBTH,0,0.871688733228988
7.93333333333333,4.01666905402129,2,7,17.775,1.06,125,"N[88, 1]",SBTH,0,0.871688733228988
7.77111111111111,2.15719877567708,5,7,12,1.04,194,"N[1, 2]",SBTH,0,0.871688733228988
6.34,2.20597487905866,3,6,11,1.04,217,"N[2, 2]",SBTH,0,0.871688733228988
6.40222222222222,2.27026767540539,3,6,11,1.05,245,"N[3, 2]",SBTH,0,0.871688733228988
6.28666666666667,2.29845498605909,3,6,11,1.03,126,"N[4, 2]",SBTH,0,0.871688733228988
5.4,1.79457236625562,3,5,10,1.03,192,"N[5, 2]",SBTH,0,0.871688733228988
4.42444444444444,2.16981268941623,1,4,9,1.03,204,"N[6, 2]",SBTH,0,0.871688733228988
6.98,2.51092046938238,3,7,13,1.03,124,"N[7, 2]",SBTH,0,0.871688733228988
7.55777777777778,2.40961223662816,4,7,12,1.02,187,"N[8, 2]",SBTH,0,0.871688733228988
5.59777777777778,2.34553918551248,2,5,11,1.07,117,"N[9, 2]",SBTH,0,0.871688733228988
6.80666666666667,2.24659108255261,4,6,11.775,1.05,147,"N[10, 2]",SBTH,0,0.871688733228988
6.96888888888889,2.54560385476603,3,7,12.775,1.05,127,"N[11, 2]",SBTH,0,0.871688733228988
4.94666666666667,2.17226904041934,2,5,10,1.05,281,"N[12, 2]",SBTH,0,0.871688733228988
6.27333333333333,2.28843319835663,3,6,11,1.05,191,"N[13, 2]",SBTH,0,0.871688733228988
5.14,2.20758966200989,2,5,10,1.02,270,"N[14, 2]",SBTH,0,0.871688733228988
7.72222222222222,2.48392505767694,4,7,13,1.06,166,"N[15, 2]",SBTH,0,0.871688733228988
6.10222222222222,2.21117720401768,3,6,11,1.05,125,"N[16, 2]",SBTH,0,0.871688733228988
5.29333333333333,2.53320048102398,2,5,11,1.02,102,"N[17, 2]",SBTH,0,0.871688733228988
4.88888888888889,1.92535794516902,2,5,9,1.03,187,"N[18, 2]",SBTH,0,0.871688733228988
6.45777777777778,2.07203125851263,3,6,11,1.01,101,"N[19, 2]",SBTH,0,0.871688733228988
8.78444444444444,2.55892303658233,5,9,14,1.08,134,"N[20, 2]",SBTH,0,0.871688733228988
6.55111111111111,2.33846714896329,3,6,12,1,187,"N[21, 2]",SBTH,0,0.871688733228988
5.86,2.37290758841607,2.225,5,11,1.06,190,"N[22, 2]",SBTH,0,0.871688733228988
6.76444444444445,1.87411812140721,4,7,11,1.01,183,"N[23, 2]",SBTH,0,0.871688733228988
6.28666666666667,2.13571808988581,3,6,11,1.04,122,"N[24, 2]",SBTH,0,0.871688733228988
6.08444444444445,2.13403384935212,3,6,10.775,1.02,351,"N[25, 2]",SBTH,0,0.871688733228988
8.05111111111111,2.36898315064243,4,8,14,1.06,176,"N[26, 2]",SBTH,0,0.871688733228988
6.78888888888889,2.44081134254545,3,6,12.775,1.04,120,"N[27, 2]",SBTH,0,0.871688733228988
7.18888888888889,2.52247997444575,3,7,12,1.05,152,"N[28, 2]",SBTH,0,0.871688733228988
6.03111111111111,2.34238777743487,3,6,11,1.01,159,"N[29, 2]",SBTH,0,0.871688733228988
6.78222222222222,2.24781892692351,3,7,12,1.03,169,"N[30, 2]",SBTH,0,0.871688733228988
4.3,2.05302753245001,1,4,9,1.05,226,"N[31, 2]",SBTH,0,0.871688733228988
6.05777777777778,2.18442440308174,3,6,11,1.09,205,"N[32, 2]",SBTH,0,0.871688733228988
5.40888888888889,2.29007952733619,2,5,11,1.04,229,"N[33, 2]",SBTH,0,0.871688733228988
9.28666666666667,2.40175325715206,5,9,14.775,1.04,113,"N[34, 2]",SBTH,0,0.871688733228988
6.2,2.14922164395229,3,6,11,1.08,319,"N[35, 2]",SBTH,0,0.871688733228988
7.08222222222222,2.38030045163202,4,7,13,1.04,222,"N[36, 2]",SBTH,0,0.871688733228988
8.29777777777778,1.85804563474551,5.225,8,12,1.08,133,"N[37, 2]",SBTH,0,0.871688733228988
7.49111111111111,1.92536951270537,4.225,7,12,1.04,176,"N[38, 2]",SBTH,0,0.871688733228988
6.41777777777778,2.20217435462011,3,6,11.775,1.01,213,"N[39, 2]",SBTH,0,0.871688733228988
6.85777777777778,2.46349642781133,3,7,12,1.05,180,"N[40, 2]",SBTH,0,0.871688733228988
7.38,2.4990064840997,4,7,13,1.03,296,"N[41, 2]",SBTH,0,0.871688733228988
4.11777777777778,2.0531673493205,1,4,8.77499999999998,1.02,209,"N[42, 2]",SBTH,0,0.871688733228988
5.79555555555556,2.13424256793306,2.225,6,11,1.01,254,"N[43, 2]",SBTH,0,0.871688733228988
7.29111111111111,2.1035892777684,4,7,13,1.04,163,"N[44, 2]",SBTH,0,0.871688733228988
6.55555555555555,2.37803193464835,3,6,12,1.05,221,"N[45, 2]",SBTH,0,0.871688733228988
