mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.171436457807354,0.222863509816987,-0.0433874320326205,0.0425973046076205,0.663105005660412,1.42,55,trend,SNPI,0.116362666666667,0.95629359592292
1820.7388,1132.8182951348,717,1470,4549,1.98,59,totalN[1],SNPI,0.116362666666667,0.95629359592292
498.351509333333,67.9687402844382,392,490,661,1.46,46,totalN[2],SNPI,0.116362666666667,0.95629359592292
808.678058666667,214.043191713838,486,803,1319,1.37,25,totalN[3],SNPI,0.116362666666667,0.95629359592292
773.034309333333,270.864102995337,469,689,1497,1.75,36,totalN[4],SNPI,0.116362666666667,0.95629359592292
660.593050666667,144.343876012797,511,619,1103,1.11,35,totalN[5],SNPI,0.116362666666667,0.95629359592292
672.813728,41.8971460370894,607,666,777,1.05,89,totalN[6],SNPI,0.116362666666667,0.95629359592292
985.670522666667,387.394102223695,723,856,2240,1.04,75,totalN[7],SNPI,0.116362666666667,0.95629359592292
1015.70637333333,285.301591166324,572,976,1714,1.43,33,totalN[8],SNPI,0.116362666666667,0.95629359592292
2032.65940266667,1380.4604402412,712,1402,6096,2.05,26,totalN[9],SNPI,0.116362666666667,0.95629359592292
4881022.09283733,1993815431.64491,34,905,60266.2999999999,1.29,150869,totalN[10],SNPI,0.116362666666667,0.95629359592292
1162.39392,508.493942651086,843,980,2915,1.17,45,totalN[11],SNPI,0.116362666666667,0.95629359592292
2350.86815466667,2667.54327072458,986,1352,10175.525,1.52,39,totalN[12],SNPI,0.116362666666667,0.95629359592292
877.521728,255.032573439485,701,799,1715,1.06,66,totalN[13],SNPI,0.116362666666667,0.95629359592292
825.218266666667,321.741397887299,628,735,2068,1.19,35,totalN[14],SNPI,0.116362666666667,0.95629359592292
0.0927746263519741,0.0462126914932912,0.0275294830020145,0.0834691727623476,0.168155373411411,3.87,27,anndet[1],SNPI,0.116362666666667,0.95629359592292
0.345013200474809,0.0424759764955091,0.258353774383615,0.345668056515878,0.427052063095199,1.57,33,anndet[2],SNPI,0.116362666666667,0.95629359592292
0.19125511842978,0.0470515341414295,0.110430112569463,0.179764750675676,0.303074387768169,1.34,14,anndet[3],SNPI,0.116362666666667,0.95629359592292
0.109038468006916,0.0293460605070077,0.0512945205991506,0.113174523856227,0.159865491889137,1.57,16,anndet[4],SNPI,0.116362666666667,0.95629359592292
0.290372651118755,0.0486750800346405,0.167732068518407,0.300455653498322,0.357577507076339,1.15,26,anndet[5],SNPI,0.116362666666667,0.95629359592292
0.496329389758002,0.0301996103522826,0.426751436700469,0.500873085218266,0.552271460817992,1.06,56,anndet[6],SNPI,0.116362666666667,0.95629359592292
0.282679143502521,0.0608789677475115,0.113846515466123,0.299994539583286,0.350709135781257,1.04,47,anndet[7],SNPI,0.116362666666667,0.95629359592292
0.107034438523781,0.0304687087360209,0.0573098804874382,0.103277443654057,0.177775217322424,1.49,13,anndet[8],SNPI,0.116362666666667,0.95629359592292
0.0798301605043969,0.0390292199344825,0.0195857773471618,0.0833377814588154,0.163962380159021,2.15,10,anndet[9],SNPI,0.116362666666667,0.95629359592292
0.502591693344863,0.282699425335443,0.0352378812908172,0.50372304342832,0.965221533605788,1,184655,anndet[10],SNPI,0.116362666666667,0.95629359592292
0.339806306973904,0.0781757535945531,0.119941710438579,0.365906638461121,0.42386024832025,1.13,39,anndet[11],SNPI,0.116362666666667,0.95629359592292
0.145947111332515,0.0539070211719352,0.0211123803338048,0.157776968310185,0.216390699923364,1.54,24,anndet[12],SNPI,0.116362666666667,0.95629359592292
0.405723601682596,0.071038338610939,0.196553653705501,0.423711986316709,0.47989488567118,1.06,49,anndet[13],SNPI,0.116362666666667,0.95629359592292
0.435297769722549,0.0851434785851428,0.161165414458535,0.453042086187022,0.533169389186528,1.26,27,anndet[14],SNPI,0.116362666666667,0.95629359592292
