"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"trend",0.0549198351822341,0.0294950136682468,-0.00732865098094104,0.0380842088062391,0.0559234575683685,0.0733957382115994,0.108898611355874,1.00839613527363,314,1,0.964
"totalN[1]",239.203433333333,75.0273373617284,154,192,222,266,426.024999999998,1.01646377416025,244,0,1
"totalN[2]",202.853666666667,50.114413446001,132,169,194,227,323,1.03683482651025,118,0,1
"totalN[3]",220.920866666667,67.6457384918919,140,181,208,245,367.024999999998,1.03425564175047,243,0,1
"totalN[4]",208.8564,60.0472855472256,115,169,203,239,339,1.04117757794272,96,0,1
"totalN[5]",249.743366666667,59.2887871187137,164,210,240,278,396,1.02215588443548,172,0,1
"totalN[6]",263.0769,55.6135224729807,180,225,255,292,397,1.02176670576442,151,0,1
"totalN[7]",235.331066666667,50.8576393295851,156,197,230,266,351,1.01881404325236,161,0,1
"totalN[8]",284.053766666667,52.3786845325972,205,247,277,312,403,1.01206032306277,257,0,1
"totalN[9]",291.577366666667,75.2290005770147,176.975,242,284,329,453,1.01576718282124,247,0,1
"totalN[10]",330.881733333333,113.462542150606,167,268,317,373,577,1.00625267341725,989,0,1
"totalN[11]",388.899466666667,79.5337019552536,280,334,373,426,590,1.00478922546772,717,0,1
"totalN[12]",364.156733333333,91.3591720515214,227,302,351,410,587,1.0018955235363,2640,0,1
"totalN[13]",437.282466666667,96.6558259541137,308,372,418,480,687,1.00412675245201,764,0,1
"totalN[14]",379.925366666667,137.71078294209,141,294,370,451,691.024999999998,1.00449548144474,995,0,1
"fit",949.111036461941,51.4454924562684,848.311292819406,914.471625951794,948.97009289014,984.127762548361,1050.357781311,1.01294607965285,200,0,1
"fit.new",938.680176749728,51.4625458140828,836.911973097245,904.041981246542,938.678934346667,973.315273817437,1039.56891663308,1.01203135576951,214,0,1
"anndet[1]",0.177758656499743,0.04314854742236,0.0929369019413131,0.148607000556874,0.177876623116201,0.206951617295483,0.261288059126713,1.01415883022748,182,0,1
"anndet[2]",0.187700237970673,0.0440672380677166,0.10848041436964,0.156825010999904,0.185422728040568,0.215692400575832,0.280619033266822,1.0168012924255,163,0,1
"anndet[3]",0.181870615741763,0.0447261471781918,0.099504627349881,0.151744794806562,0.180319435405758,0.209967087378692,0.275248290485332,1.01291566308404,205,0,1
"anndet[4]",0.137391469597923,0.0413252775846748,0.073945863092925,0.108795883803446,0.130809031179932,0.159464950236481,0.236677122805418,1.01739579168971,163,0,1
"anndet[5]",0.143483730506978,0.0332374201530924,0.0833428848827191,0.120790602509025,0.141165273153891,0.164016483567018,0.21577353447633,1.01110213750804,239,0,1
"anndet[6]",0.192136813994272,0.0397814815525446,0.118019538415729,0.164649100792365,0.190374307390078,0.217533816907989,0.275400103100676,1.01885014618806,146,0,1
"anndet[7]",0.240460770151375,0.0525999830109199,0.150592723293812,0.201557291166315,0.2362973201893,0.274933340848971,0.351523554286058,1.01298475512449,198,0,1
"anndet[8]",0.249688436695052,0.0449387571478168,0.166571833154201,0.218214087408664,0.248241129141219,0.279506905951121,0.341036013798953,1.00923641469141,286,0,1
"anndet[9]",0.127244805195587,0.0328700991718761,0.0743969886311772,0.10421081585302,0.122802934268166,0.146245921148311,0.202425334693941,1.01051767973625,254,0,1
"anndet[10]",0.512634330115942,0.267243105171471,0.0395787336764954,0.297380199165765,0.515457575982305,0.734626874185354,0.965327015432777,0.999954133470187,30000,0,1
"anndet[11]",0.234041939455204,0.0438038962319864,0.147082206634763,0.20453768827224,0.23444056253815,0.263791694938369,0.319395014010099,1.0039330579201,668,0,1
"anndet[12]",0.156753482764342,0.0384690541969214,0.0905347120199329,0.129795960514657,0.153548524876738,0.180126181546121,0.241726930432103,1.00184148054888,1634,0,1
"anndet[13]",0.237640334290286,0.0459745050712994,0.144349166066914,0.207334823519481,0.238134656871464,0.268897579254569,0.326370942345037,1.00434118941389,601,0,1
"anndet[14]",0.0693695636942029,0.0373307232577654,0.0276354843861087,0.0463786211423611,0.0607612801417043,0.0807417076006302,0.170646746058477,1.00978868881033,1204,0,1
"deviance",4573.76518413181,168.479970318665,4222.78940372029,4463.41029859791,4579.24734423531,4692.76316902292,4883.75531059855,1.02208653875616,122,0,1
