mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.124451399353679,0.124785714175443,-0.0900283385746605,0.109042408996528,0.480405994058372,1.31,33,trend,TREM,0.736266666666667,1.02535320848804
0.274774318430417,0.17166943924076,0.0193927179727467,0.230214501962475,0.65331692795469,1.34,25,trend2,TREM,0.736266666666667,1.02535320848804
581.854133333333,121.825609447878,377.725,569,863.275,1.1,101,totalN[1],TREM,0.736266666666667,1.02535320848804
482.452533333333,93.7344350744906,329,469,698.55,1.07,120,totalN[2],TREM,0.736266666666667,1.02535320848804
471.594933333333,82.7235410073338,322.725,468,648.275,1.06,151,totalN[3],TREM,0.736266666666667,1.02535320848804
366.388533333333,68.7119014093456,251,359,521.55,1.05,178,totalN[4],TREM,0.736266666666667,1.02535320848804
278.589866666667,53.6947926604736,198,269,419,1.09,135,totalN[5],TREM,0.736266666666667,1.02535320848804
292.137333333333,46.3464986704061,220.725,286,405.275,1.22,89,totalN[6],TREM,0.736266666666667,1.02535320848804
301.8848,49.5939990949072,218,297,417.275,1.03,133,totalN[7],TREM,0.736266666666667,1.02535320848804
422.9512,60.5728545148822,312,420,548,1.05,200,totalN[8],TREM,0.736266666666667,1.02535320848804
578.5736,114.725028967727,391,563,842.275,1.03,112,totalN[9],TREM,0.736266666666667,1.02535320848804
422.690133333333,200.169269483857,111,407,815.1,1.1,526,totalN[10],TREM,0.736266666666667,1.02535320848804
567.778666666667,79.2675227879233,441,560,741,1.02,157,totalN[11],TREM,0.736266666666667,1.02535320848804
493.1152,80.7627353887546,359,485,675.275,1.04,155,totalN[12],TREM,0.736266666666667,1.02535320848804
678.0512,103.40907710877,515,665,921,1.21,132,totalN[13],TREM,0.736266666666667,1.02535320848804
575.990666666667,112.385307617086,388,563,855.275,1.02,81,totalN[14],TREM,0.736266666666667,1.02535320848804
0.0781363642329924,0.014839181314277,0.0525637492931948,0.0767745787340915,0.111248713020231,1.1,116,anndet[1],TREM,0.736266666666667,1.02535320848804
0.077507801789917,0.0134045634445302,0.0523547468489251,0.0772328411784871,0.105795960286197,1.07,97,anndet[2],TREM,0.736266666666667,1.02535320848804
0.0820254708887438,0.014244476020496,0.0590752342602247,0.0805914085273141,0.114322583765465,1.05,127,anndet[3],TREM,0.736266666666667,1.02535320848804
0.0765817257575496,0.0129075411670042,0.0527010547416854,0.0759254129342075,0.105421502313492,1.04,124,anndet[4],TREM,0.736266666666667,1.02535320848804
0.138964711233267,0.0223942096158846,0.0918773510261585,0.139550914131929,0.182513347363491,1.09,144,anndet[5],TREM,0.736266666666667,1.02535320848804
0.182466311079489,0.0242367969924227,0.131304502060334,0.183491542292422,0.227371482445705,1.21,120,anndet[6],TREM,0.736266666666667,1.02535320848804
0.191390997838595,0.0285907570342822,0.137876361300923,0.189257504204748,0.255968707839369,1.02,132,anndet[7],TREM,0.736266666666667,1.02535320848804
0.169016895870676,0.0233172401857287,0.12976841919496,0.167354083325852,0.222687051534002,1.07,143,anndet[8],TREM,0.736266666666667,1.02535320848804
0.0609040560012141,0.0117452935146812,0.0434965454557845,0.0591038807448499,0.0884830813342987,1.07,104,anndet[9],TREM,0.736266666666667,1.02535320848804
0.103769353301896,0.0213638198692201,0.0667548050749086,0.102696000938252,0.153285354965701,1.03,321,anndet[10],TREM,0.736266666666667,1.02535320848804
0.158135017820761,0.0195996091712336,0.120091161750267,0.158129321283178,0.195582684587437,1.04,99,anndet[11],TREM,0.736266666666667,1.02535320848804
0.118747916103662,0.0164078748109138,0.086926934056819,0.11866041203353,0.152403254151457,1.05,161,anndet[12],TREM,0.736266666666667,1.02535320848804
0.15119826005144,0.0206446530290814,0.109171598698516,0.151132277752208,0.192089813722111,1.21,123,anndet[13],TREM,0.736266666666667,1.02535320848804
0.114999195256447,0.0190760162180537,0.0781172642382905,0.114210933090931,0.159423450612825,1.01,102,anndet[14],TREM,0.736266666666667,1.02535320848804
5.6712,2.11736142840839,2,5,11,1.02,631,"N[1, 1]",TREM,0.736266666666667,1.02535320848804
7.5296,2.70670972104578,3,7,14,1.02,554,"N[2, 1]",TREM,0.736266666666667,1.02535320848804
4.71653333333333,2.53467154969887,1,4,10,1.02,618,"N[3, 1]",TREM,0.736266666666667,1.02535320848804
5.80373333333333,2.30494312271878,2,5,11,1.03,751,"N[4, 1]",TREM,0.736266666666667,1.02535320848804
5.8344,2.63611388203161,2,5,12,1.03,568,"N[5, 1]",TREM,0.736266666666667,1.02535320848804
9.41946666666667,3.25575506344756,4,9,17,1.03,592,"N[6, 1]",TREM,0.736266666666667,1.02535320848804
7.21893333333333,2.92062942118301,3,7,14,1.02,510,"N[7, 1]",TREM,0.736266666666667,1.02535320848804
6.7664,2.97169748958266,2,6,13,1.01,442,"N[8, 1]",TREM,0.736266666666667,1.02535320848804
6.55973333333333,2.91829339030629,2,6,13,1.04,592,"N[9, 1]",TREM,0.736266666666667,1.02535320848804
8.80773333333333,2.76096595011292,4,8,15,1.02,535,"N[10, 1]",TREM,0.736266666666667,1.02535320848804
6.16293333333333,2.68331376751997,2,6,12,1.01,656,"N[11, 1]",TREM,0.736266666666667,1.02535320848804
6.77093333333333,3.31095934476665,1,6,14,1.04,623,"N[12, 1]",TREM,0.736266666666667,1.02535320848804
7.00053333333333,3.01715548867146,2,7,14,1.03,488,"N[13, 1]",TREM,0.736266666666667,1.02535320848804
7.09333333333333,3.02974202070277,2,7,14,1.02,481,"N[14, 1]",TREM,0.736266666666667,1.02535320848804
7.15786666666667,3.04051695940954,2,7,14,1.07,623,"N[15, 1]",TREM,0.736266666666667,1.02535320848804
5.63466666666667,2.52728473538787,2,5,11,1.02,665,"N[16, 1]",TREM,0.736266666666667,1.02535320848804
6.4344,3.20256642217617,1,6,14,1.01,590,"N[17, 1]",TREM,0.736266666666667,1.02535320848804
8.41546666666667,3.21251814858431,3,8,16,1.03,518,"N[18, 1]",TREM,0.736266666666667,1.02535320848804
9.26986666666667,3.26506990695271,4,9,17,1.03,565,"N[19, 1]",TREM,0.736266666666667,1.02535320848804
6.77733333333333,3.25083132906701,1,6,14,1.03,550,"N[20, 1]",TREM,0.736266666666667,1.02535320848804
6.83866666666667,3.3127780016746,2,6,14,1.02,510,"N[21, 1]",TREM,0.736266666666667,1.02535320848804
6.68933333333333,3.29508445677945,1,6,14,1.03,475,"N[22, 1]",TREM,0.736266666666667,1.02535320848804
7.59466666666667,2.88731616686873,3,7,14,1.01,652,"N[23, 1]",TREM,0.736266666666667,1.02535320848804
5.42986666666667,2.4758667088136,2,5,11,1.02,479,"N[24, 1]",TREM,0.736266666666667,1.02535320848804
