mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
1.07399604092497,0.663901207010364,0.150846195367506,1.36647104539514,1.6954935458962,109.94,21,trend,BANA,0,0.831637291059639
-0.0578355478978844,0.649352293711347,-0.968303456189163,0.238547533908369,0.553234476093252,61.21,10,trend2,BANA,0,0.831637291059639
402.533333333333,155.192636891879,270.4,317,694,3.87,34,totalN[1],BANA,0,0.831637291059639
289.133333333333,16.9204018864801,259.7,287,319,1.9,22,totalN[2],BANA,0,0.831637291059639
344.044444444444,32.0935815981635,298.3,336,401.7,1.81,12,totalN[3],BANA,0,0.831637291059639
364.888888888889,18.885085772812,337.3,363,410.9,1.05,13,totalN[4],BANA,0,0.831637291059639
530.311111111111,39.098838754101,454.8,534,624,1.16,24,totalN[5],BANA,0,0.831637291059639
456.777777777778,24.1179760277841,418.3,454,506.9,1.41,45,totalN[6],BANA,0,0.831637291059639
445.977777777778,43.0034295085282,394.1,429,528,1.74,13,totalN[7],BANA,0,0.831637291059639
565.866666666667,29.0646614543253,519.1,567,614.7,1.15,9,totalN[8],BANA,0,0.831637291059639
402.933333333333,43.8148999148173,357.2,383,491.9,6.01,23,totalN[9],BANA,0,0.831637291059639
729.844444444444,925.528938586804,24.3,350,2888,1.33,67,totalN[10],BANA,0,0.831637291059639
405.022222222222,18.4507808271442,379,402,436.8,1.4,21,totalN[11],BANA,0,0.831637291059639
448.244444444444,47.0575834655389,385.5,433,530.7,2.48,25,totalN[12],BANA,0,0.831637291059639
381.222222222222,31.2649156323018,348,368,443.7,2.2,36,totalN[13],BANA,0,0.831637291059639
402.111111111111,95.455897056328,318,364,660.4,4.1,9,totalN[14],BANA,0,0.831637291059639
914.533333333334,733.34388559901,375.1,418,2118.4,12.26,32,totalN[15],BANA,0,0.831637291059639
795.466666666667,518.218039403914,345.2,494,1688.5,16.75,6,totalN[16],BANA,0,0.831637291059639
0.484587140513999,0.143859953346663,0.25304602295845,0.530830423343828,0.637172039949798,5.84,26,anndet[1],BANA,0,0.831637291059639
0.590746940023049,0.031123641734078,0.534835024586705,0.590406460001604,0.637318814784335,1.71,18,anndet[2],BANA,0,0.831637291059639
0.535917709270618,0.0485425219683971,0.450356047106525,0.53793330330259,0.626586175301619,1.72,11,anndet[3],BANA,0,0.831637291059639
0.591626707046646,0.0279914483153179,0.543703191558248,0.594601028794573,0.629692391581911,1.09,13,anndet[4],BANA,0,0.831637291059639
0.502808738802603,0.0337103572423849,0.443440626634381,0.491341748938737,0.578403050723772,1.14,31,anndet[5],BANA,0,0.831637291059639
0.534778087357141,0.0233549877770368,0.497193032530573,0.533328670762914,0.580190994424944,1.21,25,anndet[6],BANA,0,0.831637291059639
0.603221112449559,0.055765503464411,0.513830540895264,0.6184290972732,0.685410871824939,1.79,12,anndet[7],BANA,0,0.831637291059639
0.514003220109011,0.0295165269768045,0.473039298594267,0.510383092328102,0.564753069830096,1.24,10,anndet[8],BANA,0,0.831637291059639
0.489629926833668,0.0501734561387573,0.388402580639323,0.506765443542691,0.550182972313294,4.94,23,anndet[9],BANA,0,0.831637291059639
0.583756618813262,0.200877402404386,0.189164514207241,0.608234451897675,0.895840851319744,1.06,61,anndet[10],BANA,0,0.831637291059639
0.622982647162625,0.0269347001644564,0.584085172501693,0.626616465030939,0.669356553381549,1.28,14,anndet[11],BANA,0,0.831637291059639
0.544282830420005,0.0565307450522616,0.461349724502282,0.556047375497211,0.629737654108891,2.86,24,anndet[12],BANA,0,0.831637291059639
0.642091583769975,0.0515444129347774,0.54884952590532,0.66643443120814,0.706248680003399,2.88,147,anndet[13],BANA,0,0.831637291059639
0.510391634725225,0.0977289285301672,0.292838104350284,0.544498429891025,0.625323899615352,4.81,7,anndet[14],BANA,0,0.831637291059639
0.478618608838931,0.234416104442436,0.135102056484276,0.623798632886101,0.689325683521793,23.99,32,anndet[15],BANA,0,0.831637291059639
0.39639281336084,0.181029267411477,0.138244840073292,0.442243659625949,0.647313975449759,6.57,8,anndet[16],BANA,0,0.831637291059639
4.73333333333333,1.58687800986144,3,4,8,2.44,35,"N[1, 1]",BANA,0,0.831637291059639
2.71111111111111,1.85401557096313,1,2,6,1.64,45,"N[2, 1]",BANA,0,0.831637291059639
4.62222222222222,1.83759834478802,3,4,8,1.98,45,"N[3, 1]",BANA,0,0.831637291059639
5.15555555555556,2.16328407283879,3,4,9.9,2.34,69,"N[4, 1]",BANA,0,0.831637291059639
6.84444444444444,2.09930243344562,5,6,11.9,2.59,81,"N[5, 1]",BANA,0,0.831637291059639
4.13333333333333,2.3798395667852,2,3,10.9,2.2,45,"N[6, 1]",BANA,0,0.831637291059639
5.26666666666667,2.26032982307691,3,5,9.9,2.23,45,"N[7, 1]",BANA,0,0.831637291059639
5.08888888888889,2.28455508123396,3,4,9.9,1.98,45,"N[8, 1]",BANA,0,0.831637291059639
