mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
-0.1083854629268,0.062273027916232,-0.231456558553429,-0.108702159806434,0.0161592925667476,1,1667,trend,FOTH,0.0044,0.923337239696716
-0.0309627693117953,0.0692864531514246,-0.166102285415297,-0.0309659961026975,0.104557227474043,1,887,trend2,FOTH,0.0044,0.923337239696716
742.242111111108,134.334475011743,503,736,1015,1,1415,totalN[1],FOTH,0.0044,0.923337239696716
705.070999999998,103.21941725202,522,699,929,1,2785,totalN[2],FOTH,0.0044,0.923337239696716
774.808422222222,113.215649800757,573,769,1005,1,2021,totalN[3],FOTH,0.0044,0.923337239696716
738.509488888889,97.433045175368,568,731,956,1,3225,totalN[4],FOTH,0.0044,0.923337239696716
596.568133333333,53.7252412237477,499,594,711,1,5078,totalN[5],FOTH,0.0044,0.923337239696716
573.107511111111,41.183189643983,499,571,660,1,5160,totalN[6],FOTH,0.0044,0.923337239696716
678.940222222222,46.6361462406137,596,676,779,1,6248,totalN[7],FOTH,0.0044,0.923337239696716
821.979,67.4999706009863,707,816,969,1,4555,totalN[8],FOTH,0.0044,0.923337239696716
656.952088888889,89.3798261425132,512,646,865,1,3238,totalN[9],FOTH,0.0044,0.923337239696716
636.184177777777,125.559544151035,423,625,918.025000000002,1,5105,totalN[10],FOTH,0.0044,0.923337239696716
626.487333333333,52.4238934169445,538,622,744,1,3848,totalN[11],FOTH,0.0044,0.923337239696716
531.217577777778,51.6430104330657,442,527,644,1,5323,totalN[12],FOTH,0.0044,0.923337239696716
556.339666666667,43.5858190288285,480,553,650,1,3897,totalN[13],FOTH,0.0044,0.923337239696716
676.356733333333,71.5491401670888,559,669,840,1,4324,totalN[14],FOTH,0.0044,0.923337239696716
524.020355555555,51.9977698501221,434,520,638,1,6672,totalN[15],FOTH,0.0044,0.923337239696716
464.667422222223,45.5131614880907,390,460,567,1,6187,totalN[16],FOTH,0.0044,0.923337239696716
0.211310725234368,0.0392432294294076,0.151154815204645,0.205780102378476,0.300345386808414,1,1450,anndet[1],FOTH,0.0044,0.923337239696716
0.163390438806829,0.0233249599676281,0.121945817343607,0.161374180274839,0.21500889177009,1,2893,anndet[2],FOTH,0.0044,0.923337239696716
0.204466209368071,0.0301674488785074,0.155173051038675,0.201379668426674,0.271162846438799,1,1923,anndet[3],FOTH,0.0044,0.923337239696716
0.163938572930047,0.0212010735737636,0.124702916839326,0.162772904576592,0.20964106280817,1,3414,anndet[4],FOTH,0.0044,0.923337239696716
