mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.800580019919989,0.541992851576815,0.118727828993504,0.848629207874414,1.45562415538415,83.48,32,trend,SBTH,0,0.917226051592178
-0.0710903200418242,0.605754341350861,-0.848860548323557,-0.0226316214708554,0.650424904828411,77.18,22,trend2,SBTH,0,0.917226051592178
502.644444444444,248.094845825649,260,372,914.6,7.88,22,totalN[1],SBTH,0,0.917226051592178
390.333333333333,56.5259393392257,290.4,396,479.6,1.7,33,totalN[2],SBTH,0,0.917226051592178
387.088888888889,39.2855642132776,326.1,390,469.2,1.43,16,totalN[3],SBTH,0,0.917226051592178
303.777777777778,51.7734965932855,230,292,393.8,2.12,10,totalN[4],SBTH,0,0.917226051592178
389.2,46.9364173401344,332.1,377,502.3,1.76,18,totalN[5],SBTH,0,0.917226051592178
459.866666666667,18.9131988544797,421.3,459,492.4,1.31,25,totalN[6],SBTH,0,0.917226051592178
449.022222222222,36.0816554302302,394.1,441,524.1,2.34,17,totalN[7],SBTH,0,0.917226051592178
689.666666666667,63.0223625534475,575.6,700,789.2,4.14,14,totalN[8],SBTH,0,0.917226051592178
382.622222222222,72.090942845853,297.2,360,533.1,3.67,12,totalN[9],SBTH,0,0.917226051592178
2850.53333333333,8883.98247511677,126.1,493,18967.8,1.2,63,totalN[10],SBTH,0,0.917226051592178
580.177777777778,56.4979037780441,464.2,583,681.7,2.76,9,totalN[11],SBTH,0,0.917226051592178
540.288888888889,51.1613411501578,456.8,536,620.9,2.02,22,totalN[12],SBTH,0,0.917226051592178
482.688888888889,35.8195110761911,424.7,480,549.7,1.77,70,totalN[13],SBTH,0,0.917226051592178
314.511111111111,51.3608544879987,241.9,299,420.8,3.39,22,totalN[14],SBTH,0,0.917226051592178
831.444444444445,476.948041555298,378.4,632,1660.6,12.99,21,totalN[15],SBTH,0,0.917226051592178
435,60.6970869452263,335,421,566.6,1.57,12,totalN[16],SBTH,0,0.917226051592178
0.309050474276855,0.119331353809782,0.139743716303424,0.342958018987148,0.474430526766456,14.21,22,anndet[1],SBTH,0,0.917226051592178
0.326389786863438,0.050460580135952,0.263531865462458,0.315678003327493,0.421283706487388,1.67,10,anndet[2],SBTH,0,0.917226051592178
0.353698857342901,0.0326687146804566,0.30155141037978,0.349352613122976,0.422146908149931,1.31,20,anndet[3],SBTH,0,0.917226051592178
0.419809327929452,0.0746911952071502,0.312918357373688,0.418829477169122,0.569257078125363,2.86,11,anndet[4],SBTH,0,0.917226051592178
0.386066873848804,0.0398876523117323,0.308022752589202,0.386911677275975,0.449915974187319,1.76,22,anndet[5],SBTH,0,0.917226051592178
0.3906590905934,0.0159199351008847,0.366774750538629,0.386738827132554,0.41966193319559,1.66,33,anndet[6],SBTH,0,0.917226051592178
0.444569901139865,0.03560875043152,0.38085662823683,0.447073769123968,0.500652236405435,2.14,10,anndet[7],SBTH,0,0.917226051592178
0.327340250018646,0.0322074019749054,0.28041184758116,0.31400143047171,0.38766071770646,3.86,16,anndet[8],SBTH,0,0.917226051592178
0.300465335123725,0.0498247243872889,0.207084079832873,0.310195375088871,0.372813071154475,4.13,19,anndet[9],SBTH,0,0.917226051592178
0.524756402656226,0.284141336854329,0.0382947022043241,0.574706949605064,0.986119751274951,1.07,45,anndet[10],SBTH,0,0.917226051592178
0.363674873583028,0.0370512340478777,0.297212091337329,0.368146998830901,0.445429171456717,2.6,7,anndet[11],SBTH,0,0.917226051592178
0.361447669225645,0.0313548885172186,0.314413176229477,0.362896663768308,0.412540365688457,2.14,11,anndet[12],SBTH,0,0.917226051592178
0.460825318590494,0.0326159891997605,0.409175623291203,0.460975430234294,0.529755852695454,1.88,57,anndet[13],SBTH,0,0.917226051592178
0.414683094327045,0.0605843096611315,0.301585344394835,0.419202847617224,0.510612558828993,3.14,13,anndet[14],SBTH,0,0.917226051592178
0.269614652156608,0.118842457026145,0.108469029356388,0.270266530039359,0.426026444447761,9.31,22,anndet[15],SBTH,0,0.917226051592178
0.38359530042807,0.0466912112610425,0.299115945184345,0.387126884508308,0.457802716446332,1.51,10,anndet[16],SBTH,0,0.917226051592178
4.66666666666667,2.07802353648408,3,4,9.9,2.17,45,"N[1, 1]",SBTH,0,0.917226051592178
8.64444444444444,4.21121638417494,4,7,16.9,2.78,90,"N[2, 1]",SBTH,0,0.917226051592178
3.62222222222222,2.70763977133465,1,3,8.9,3.07,45,"N[3, 1]",SBTH,0,0.917226051592178
4.22222222222222,2.53958558617247,2,3,9.9,2.11,64,"N[4, 1]",SBTH,0,0.917226051592178
4,2.93102526275518,1,3,10.9,2.9,45,"N[5, 1]",SBTH,0,0.917226051592178
6.26666666666667,3.3736950339084,3,5,14,1.81,45,"N[6, 1]",SBTH,0,0.917226051592178
4.82222222222222,2.46141948041894,2,4,10,1.89,45,"N[7, 1]",SBTH,0,0.917226051592178
4.82222222222222,3.09903862577419,1,4,11.8,3.67,45,"N[8, 1]",SBTH,0,0.917226051592178
5.97777777777778,3.52580673482157,2.1,4,13.8,2.44,104,"N[9, 1]",SBTH,0,0.917226051592178
4.77777777777778,2.20422001138404,3,4,9,2.34,50,"N[10, 1]",SBTH,0,0.917226051592178
3.37777777777778,3.49212678678044,0,2,12.9,1.79,45,"N[11, 1]",SBTH,0,0.917226051592178
5.55555555555555,2.73492193303538,2.1,5,11.9,2.83,45,"N[12, 1]",SBTH,0,0.917226051592178
7.42222222222222,4.39260167724658,2,6,17.8,2.82,103,"N[13, 1]",SBTH,0,0.917226051592178
4.28888888888889,2.51921905487884,2,3,9.9,1.99,68,"N[14, 1]",SBTH,0,0.917226051592178
5.82222222222222,2.49808007085522,3,5,10.9,1.94,45,"N[15, 1]",SBTH,0,0.917226051592178
6.2,3.29324377255231,3,5,11.9,2.21,37,"N[16, 1]",SBTH,0,0.917226051592178
6.75555555555556,4.37012354493323,2,5,15,3,107,"N[17, 1]",SBTH,0,0.917226051592178
6.11111111111111,3.14225036776788,3,5,12,3.07,274,"N[18, 1]",SBTH,0,0.917226051592178
5.8,2.75185887587414,3,5,11.9,3.1,45,"N[19, 1]",SBTH,0,0.917226051592178
7.42222222222222,4.23990184753936,3,5,16,2.88,45,"N[20, 1]",SBTH,0,0.917226051592178
6.08888888888889,4.1877647662415,1,5,14.9,2.42,37,"N[21, 1]",SBTH,0,0.917226051592178
5.13333333333333,3.20227192076898,2,4,11.9,2.91,45,"N[22, 1]",SBTH,0,0.917226051592178
5.82222222222222,2.73270502756459,2,5,11,3.26,83,"N[23, 1]",SBTH,0,0.917226051592178
4.35555555555556,2.79736528277101,2,3,9.9,2.91,45,"N[24, 1]",SBTH,0,0.917226051592178
3.86666666666667,2.97413088909257,0,3,9.9,2.56,64,"N[25, 1]",SBTH,0,0.917226051592178
6.8,3.23756361818856,3,6,13.9,2.28,207,"N[26, 1]",SBTH,0,0.917226051592178
8.13333333333333,3.65314310497885,4,7,15.9,2.17,74,"N[27, 1]",SBTH,0,0.917226051592178
6.02222222222222,4.38224148171234,2,4,17.7,2.38,52,"N[28, 1]",SBTH,0,0.917226051592178
10.2666666666667,5.16720427310553,5,8,22.7,3.1,45,"N[29, 1]",SBTH,0,0.917226051592178
5.84444444444445,3.59264118818881,1.1,5,13.8,3.46,45,"N[30, 1]",SBTH,0,0.917226051592178
3.28888888888889,3.15956140671902,0,2,11.9,1.76,45,"N[31, 1]",SBTH,0,0.917226051592178
6.88888888888889,5.51123737229103,1,5,21.4,1.91,36,"N[32, 1]",SBTH,0,0.917226051592178
3.77777777777778,2.51259453814803,1,3,9.9,1.67,45,"N[33, 1]",SBTH,0,0.917226051592178
5.37777777777778,3.56937025823941,2,4,12,2.59,36,"N[34, 1]",SBTH,0,0.917226051592178
4.91111111111111,2.82699826528408,2,4,11.8,2.94,90,"N[35, 1]",SBTH,0,0.917226051592178
6.22222222222222,3.41712857188132,2.1,5,13,3.43,45,"N[36, 1]",SBTH,0,0.917226051592178
5.46666666666667,3.54580417856475,1.1,5,14,1.7,36,"N[37, 1]",SBTH,0,0.917226051592178
4.86666666666667,3.02714987465708,2,4,11.9,1.89,89,"N[38, 1]",SBTH,0,0.917226051592178
7.33333333333333,3.69274472937998,3.1,6,14.9,3.61,45,"N[39, 1]",SBTH,0,0.917226051592178
7.55555555555555,5.18983077126253,2,6,18.9,2.5,45,"N[40, 1]",SBTH,0,0.917226051592178
4.2,2.51901856790587,1,4,8.9,2.19,45,"N[41, 1]",SBTH,0,0.917226051592178
4.2,2.72696968013281,1,3,10.9,1.33,34,"N[42, 1]",SBTH,0,0.917226051592178
5.8,3.61562266735998,2,4,14.9,3.15,64,"N[43, 1]",SBTH,0,0.917226051592178
5.44444444444445,3.83497988352882,2,3,12.9,2.38,45,"N[44, 1]",SBTH,0,0.917226051592178
6.68888888888889,3.13210807765329,3,6,14.7,2.44,36,"N[45, 1]",SBTH,0,0.917226051592178
6.31111111111111,3.78887259690209,2.1,5,13.9,4.74,243,"N[46, 1]",SBTH,0,0.917226051592178
4.42222222222222,2.9348136760502,1,4,10.9,2.91,45,"N[47, 1]",SBTH,0,0.917226051592178
4.4,2.85561647539467,1,4,10.9,2.71,45,"N[48, 1]",SBTH,0,0.917226051592178
